degree,aandersoni_regen_up_Fraction_sp_less4,amaculatum_regen_up_Fraction_sp_less4,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,ecoli_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,xlaevis_wound_up_Fraction_sp_less4,xtropicalis_regen_up_Fraction_sp_less4,label,gene_list
25,0.00258500695963412,0.00218731358122887,0.00676078743288924,0.00815271425730762,0,0.00576655398687612,0.00039769337840525,0.000994233446013124,0.00039769337840525,0.0161065818254126,0.000596540067607874,0.0200835156094651,0.00497116723006562,0.0125273414197654,0,CFP
103,0,0.00039769337840525,0.00636309405448399,0.0165042752038179,0.000198846689202625,0.0196858222310599,0.003181547027242,0.00139192682441837,0.000596540067607874,0.0147146550009942,0.001590773513621,0.0202823622986677,0.00616424736528137,0.00039769337840525,0,AAAS
67,0.00139192682441837,0.00258500695963412,0.0113342612845496,0.0202823622986677,0,0.0163054285146152,0.000994233446013124,0.00139192682441837,0.00119308013521575,0.017498508649831,0.00218731358122887,0.0310200835156095,0.00954464108172599,0.0153111950686021,0,SIDT1
82,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,SIDT2
33,0,0,0,0,0,0.5,0.5,0,0,0.5,0,1,0,0,0,AAGAB
109,0,0,0.000994233446013124,0.0123284947305627,0,0.0115331079737522,0.001590773513621,0.00039769337840525,0.000596540067607874,0.00139192682441837,0.00198846689202625,0.00835156094651024,0.000994233446013124,0.000596540067607874,0,C4orf17
136,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,SCYL1
11,0,0.000198846689202625,0.00497116723006562,0.0165042752038179,0,0.0125273414197654,0.00039769337840525,0.000795386756810499,0.00039769337840525,0.0115331079737522,0,0.0115331079737522,0.00039769337840525,0.00377808709484987,0,ABCE1
55,0.000198846689202625,0.00119308013521575,0.00695963412209187,0.0125273414197654,0,0.0176973553390336,0.00178962020282362,0.000596540067607874,0.00039769337840525,0.0105388745277391,0.00039769337840525,0.0186915887850467,0.00556770729767349,0.00178962020282362,0,TEN1-CDK3
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ZNF117
31,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,ZNF114
10,0,0,0.000994233446013124,0.00278385364883675,0.000198846689202625,0.00218731358122887,0.000198846689202625,0.000198846689202625,0.00039769337840525,0.00119308013521575,0.00039769337840525,0.00357924040564725,0.000994233446013124,0.000198846689202625,0,SEZ6L
44,0,0,0.000596540067607874,0.004772320540863,0,0.0039769337840525,0.000198846689202625,0.000198846689202625,0,0.00278385364883675,0.000198846689202625,0.00357924040564725,0.000198846689202625,0,0,PRKAR2A
32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,PRKAR2B
175,0,0,0.000596540067607874,0.000596540067607874,0,0.000994233446013124,0,0,0,0.000198846689202625,0,0.000596540067607874,0,0,0,MAGT1
409,0,0,0.000198846689202625,0.00278385364883675,0,0.003181547027242,0.00039769337840525,0,0,0.00178962020282362,0,0.00198846689202625,0,0.000198846689202625,0,ITGA2B
53,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,PHACTR1
53,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,OR2K2
30,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,PHACTR3
35,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,CASP5
66,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,NR1D1
71,0,0,0.333333333333333,1,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0,NR1D2
45,0,0.000198846689202625,0.00338039371644462,0.00676078743288924,0,0.00934579439252336,0.000795386756810499,0.000198846689202625,0,0.00815271425730762,0.000198846689202625,0.0103400278385365,0.00178962020282362,0.000198846689202625,0,OGFR
1,0,0.000596540067607874,0.0176973553390336,0.0522966792602903,0.001590773513621,0.0513024458142772,0.00715848081129449,0.00338039371644462,0.00039769337840525,0.0520978325710877,0.00735732750049712,0.0598528534499901,0.0192881288526546,0.0023861602704315,0,PTCH2
4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,PTCH1
30,0,0,0.000198846689202625,0.000795386756810499,0,0.000994233446013124,0.000198846689202625,0,0,0.000198846689202625,0.000198846689202625,0.00039769337840525,0,0,0,TIMM44
70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,RAD9B
1432,0.001590773513621,0.00497116723006562,0.0330085504076357,0.0586597733147743,0.000596540067607874,0.0618413203420163,0.00974348777092861,0.00298270033803937,0.0023861602704315,0.0544839928415192,0.00994233446013124,0.0783455955458342,0.0244581427719228,0.0125273414197654,0,RAD9A
63,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,ERGIC2
42,0,0,0,0.00039769337840525,0,0.000795386756810499,0,0,0,0.000198846689202625,0.000198846689202625,0,0,0,0,ERGIC3
193,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,ERGIC1
222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B3GAT3
71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,B3GAT2
