degree,amexicanum_regen_up_Fraction_sp_less4,celegans_stress_up_Fraction_sp_less4,clupisFamiliaris_wound_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_wound_up_Fraction_sp_less4,drerio_regen_up_Fraction_sp_less4,hsapiens_regen_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less4,rnorvegicus_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less4,label
4,0.959276018099548,0.928977272727273,0.934782608695652,0.892857142857143,0.947189097103918,0.971794871794872,0.964601769911504,0.967828418230563,0.96551724137931,0.969613259668508,0.926517571884984,0.984815618221258,1
2,0.943438914027149,0.931818181818182,0.91304347826087,0.910863509749304,0.940374787052811,0.966666666666667,0.929203539823009,0.970509383378016,0.96551724137931,0.966850828729282,0.942492012779553,0.963123644251627,1
1,0.947963800904977,0.928977272727273,0.978260869565217,0.891364902506964,0.943781942078365,0.956410256410256,0.955752212389381,0.959785522788204,0.958620689655172,0.953038674033149,0.92332268370607,0.960954446854664,1
1,0.875565610859729,0.875,0.847826086956522,0.821428571428571,0.901192504258944,0.915384615384615,0.882005899705015,0.922252010723861,0.889655172413793,0.897790055248619,0.830670926517572,0.926247288503254,1
3,0.961538461538462,0.943181818181818,1,0.949860724233983,0.957410562180579,0.966666666666667,0.973451327433628,0.973190348525469,0.972413793103448,0.961325966850829,0.94888178913738,0.982646420824295,1
7,0.934389140271493,0.934659090909091,0.934782608695652,0.924791086350975,0.943781942078365,0.974358974358974,0.952802359882006,0.981233243967828,0.917241379310345,0.941988950276243,0.932907348242812,0.969631236442516,1
2,0.934389140271493,0.917613636363636,0.91304347826087,0.833333333333333,0.926746166950596,0.969230769230769,0.941002949852507,0.970509383378016,0.924137931034483,0.941988950276243,0.907348242811502,0.96529284164859,1
17,0.812217194570136,0.784090909090909,0.652173913043478,0.702380952380952,0.798977853492334,0.843589743589744,0.814159292035398,0.81769436997319,0.751724137931034,0.806629834254144,0.731629392971246,0.852494577006508,1
3,0.861990950226244,0.821022727272727,0.760869565217391,0.761904761904762,0.856899488926746,0.907692307692308,0.890855457227139,0.908847184986595,0.868965517241379,0.900552486187845,0.805111821086262,0.928416485900217,1
28,0.938914027149321,0.9375,0.978260869565217,0.908077994428969,0.954003407155026,0.971794871794872,0.958702064896755,0.978552278820375,0.951724137931034,0.955801104972376,0.939297124600639,0.967462039045553,1
