sample	TCGA_GTEX_main_category
GTEX-R53T-1226-SM-48FCT	GTEX Stomach
GTEX-R55D-1526-SM-48FEJ	GTEX Stomach
GTEX-R55G-1126-SM-48FDG	GTEX Stomach
GTEX-RM2N-0826-SM-48FD3	GTEX Stomach
GTEX-RU1J-0526-SM-46MUT	GTEX Stomach
GTEX-RWS6-0926-SM-47JXE	GTEX Stomach
GTEX-S341-0626-SM-4AD5T	GTEX Stomach
GTEX-S3XE-1026-SM-4AD4O	GTEX Stomach
GTEX-S4P3-0726-SM-4AD57	GTEX Stomach
GTEX-S4Q7-0726-SM-4AD5F	GTEX Stomach
GTEX-S4UY-1626-SM-4AD55	GTEX Stomach
GTEX-S4Z8-1226-SM-4AD6W	GTEX Stomach
GTEX-S7SF-0626-SM-4AD4V	GTEX Stomach
GTEX-SIU7-1426-SM-4BRWT	GTEX Stomach
GTEX-SNMC-0626-SM-4DM6H	GTEX Stomach
GTEX-SNOS-0826-SM-4DM5N	GTEX Stomach
GTEX-SUCS-0926-SM-4DM4Z	GTEX Stomach
GTEX-T5JC-1926-SM-4DM6Q	GTEX Stomach
GTEX-T5JW-0926-SM-4DM5K	GTEX Stomach
GTEX-T6MO-0726-SM-4DM58	GTEX Stomach
GTEX-T8EM-1226-SM-4DM5J	GTEX Stomach
GTEX-TKQ1-0526-SM-4DXTG	GTEX Stomach
GTEX-TKQ2-0926-SM-4DXU5	GTEX Stomach
GTEX-U8T8-1226-SM-4E3IH	GTEX Stomach
GTEX-U8XE-2126-SM-5CHRC	GTEX Stomach
GTEX-UJHI-1026-SM-4IHJP	GTEX Stomach
GTEX-UJMC-1226-SM-4IHLI	GTEX Stomach
GTEX-UPK5-2126-SM-4JBJK	GTEX Stomach
GTEX-V1D1-1726-SM-4JBHB	GTEX Stomach
GTEX-V955-1326-SM-4JBHR	GTEX Stomach
GTEX-VJYA-1026-SM-4KL21	GTEX Stomach
GTEX-W5WG-1726-SM-4LMI5	GTEX Stomach
GTEX-WFG7-1326-SM-4LMK1	GTEX Stomach
GTEX-WFG8-1326-SM-4LVN3	GTEX Stomach
GTEX-WFJO-1126-SM-4LVLZ	GTEX Stomach
GTEX-WFON-1126-SM-4LVMA	GTEX Stomach
GTEX-WFON-1126-SM-5CHTG	GTEX Stomach
