Gene	GeneType
F8	wound
FBXO21	wound
FBXW4	wound
GDPD5	wound
HMGCL	wound
ID4	wound
IL16	wound
IMMT	wound
INSR	wound
ITGAV	wound
JAG1	wound
KCNA2	wound
LARP4	wound
LRRC6	wound
MBD1	wound
MBP	wound
MEF2A	wound
MFGE8	wound
MMP14	wound
MON1A	wound
MYOCD	wound
NELFB	wound
NPPC	wound
PAFAH1B1	wound
PER1	wound
PMEPA1	wound
PREP	wound
PSMC1	wound
PTGFRN	wound
PTPRA	wound
RING1	wound
RND3	wound
RPL7L1	wound
RSF1	wound
TEK	wound
TNNT1	wound
UNK	wound
URM1	wound
VAV1	wound
WDR45	wound
ABLIM1	wound
ACADVL	wound
ACTR1B	wound
ANGPT2	wound
ATF6B	wound
AUH	wound
CAMK2G	wound
CAPN1	wound
COL5A3	wound
CRYBB1	wound
DDC	wound
EIF4E2	wound
ENO3	wound
FBXO9	wound
GABARAPL1	wound
GATAD2A	wound
GGA3	wound
GLB1L	wound
HMBOX1	wound
ITGA2	wound
JAK1	wound
KLF11	wound
LAMB1	wound
LAMB2	wound
LETM1	wound
MAGED1	wound
MED7	wound
MFAP1	wound
NR3C1	wound
OGFOD1	wound
OXCT1	wound
PHC1	wound
PPP1R16B	wound
PRKCZ	wound
RGL2	wound
SEC14L1	wound
SLC22A2	wound
SREBF2	wound
SZT2	wound
TLN1	wound
TMEM70	wound
TNIP1	wound
TRIP10	wound
UCHL3	wound
WHAMM	wound
YWHAZ	wound
ABCB11	wound
ABHD5	wound
ACP2	wound
ACTG1	wound
ADGRA2	wound
AGBL5	wound
AIMP2	wound
ARF1	wound
BAIAP2	wound
CDH1	wound
CERS4	wound
CLN6	wound
COMT	wound
DCTN4	wound
DNMT3A	wound
EFCAB12	wound
FBXO31	wound
HIVEP2	wound
HMGB2	wound
HTR2B	wound
IVD	wound
KLHL41	wound
LRRC59	wound
MMP3	wound
NAA35	wound
PGAM2	wound
PGM1	wound
PIGR	wound
PPP3CB	wound
PRLR	wound
RAN	wound
RBM5	wound
RHOBTB1	wound
RUVBL2	wound
SH3GLB1	wound
SNF8	wound
SRRM2	wound
SYNE2	wound
TFAM	wound
TOMM20	wound
TSHZ1	wound
TXNRD1	wound
VCAN	wound
ABCD3	wound
ACACA	wound
ACAD10	wound
ACSL1	wound
ACVR2B	wound
ADD1	wound
ALAS1	wound
B2M	wound
BHLHE40	wound
BID	wound
BVES	wound
CARTPT	wound
CD80	wound
CDC45	wound
COL6A3	wound
COX10	wound
DCPS	wound
DDA1	wound
DEFB110	wound
DESI2	wound
EGFR	wound
EHMT2	wound
ENSA	wound
ERLIN2	wound
ESYT2	wound
FGL2	wound
GNL3L	wound
GPM6B	wound
GPR39	wound
HLA-DMA	wound
HSP90AB1	wound
ICMT	wound
IPO5	wound
KANK3	wound
KCNH2	wound
LONP1	wound
