Gene	GeneType
TXNIP	stress
UGT2B15	stress
UGT3A1	stress
UGT8	stress
ABHD5	stress
ACSBG2	stress
ACSL1	stress
ARRDC1	stress
ASIC1	stress
ASIC2	stress
ASIC4	stress
C16orf72	stress
CNN2	stress
CPA1	stress
CPA3	stress
CPB2	stress
CT55	stress
DHRS4	stress
DHRS4L2	stress
DNAJC18	stress
EPB41L4B	stress
EZH1	stress
GPX3	stress
GSTA1	stress
GSTA2	stress
GSTA3	stress
GSTM2	stress
GSTM3	stress
GSTM5	stress
GSTP1	stress
IHH	stress
IRF2BP1	stress
IRF2BP2	stress
KMT2C	stress
LIPF	stress
LIPK	stress
LIPM	stress
LIPN	stress
LVRN	stress
MFSD5	stress
MMP8	stress
MPP1	stress
NGLY1	stress
P4HTM	stress
SCNN1B	stress
SETD2	stress
SETDB2	stress
SLC27A5	stress
SLC8B1	stress
ST18	stress
TAGLN	stress
TAGLN2	stress
TRPM3	stress
TRPM8	stress
TUT1	stress
UGT2A1	stress
UGT2A2	stress
UGT2A3	stress
UGT2B10	stress
UGT2B11	stress
UGT2B17	stress
UGT2B28	stress
UGT2B4	stress
UGT2B7	stress
UGT3A2	stress
AASDHPPT	stress
ACSL4	stress
ASIC3	stress
DBP	stress
DISP2	stress
DNAJC5B	stress
DNAJC5G	stress
DYRK1A	stress
EHMT1	stress
EZH2	stress
GALNT13	stress
HSD11B1L	stress
KMT2D	stress
LIMS3	stress
LNPEP	stress
MAN1A1	stress
MAPRE1	stress
MMP12	stress
MTPAP	stress
NSD2	stress
NSD3	stress
PLSCR3	stress
PTCH1	stress
SCNN1A	stress
SCNN1D	stress
SETBP1	stress
SETD1A	stress
SETD1B	stress
SETX	stress
SLC38A3	stress
SLC7A11	stress
SUV39H2	stress
TRPM5	stress
TUT4	stress
TUT7	stress
UBE2L6	stress
ABCB1	stress
AGO4	stress
CASP9	stress
CBR1	stress
CD36	stress
CDC37L1	stress
CREBBP	stress
CUX1	stress
DHH	stress
DYRK1B	stress
EPB41L1	stress
GALNT16	stress
HDLBP	stress
HNF4A	stress
HSDL1	stress
IRF2BPL	stress
LIMS1	stress
LIMS2	stress
LSM14B	stress
MMP10	stress
MMP20	stress
MYT1	stress
MYT1L	stress
PDCD10	stress
PLB1	stress
PLSCR2	stress
PPP1CA	stress
PPP1CC	stress
SCARB2	stress
SHH	stress
SLC27A4	stress
SLC30A4	stress
SLC7A7	stress
TMEM170B	stress
TNNI3	stress
TOB1	stress
TRHDE	stress
TRPM1	stress
WSCD1	stress
ZFP36L1	stress
ZFP36L2	stress
ACOX2	stress
AGO1	stress
ANPEP	stress
AOPEP	stress
ATP2A3	stress
CABP1	stress
CHPT1	stress
COPB2	stress
CPA2	stress
CPB1	stress
EPB41	stress
EPB41L2	stress
EPB41L3	stress
ERAP1	stress
ERAP2	stress
FRMD5	stress
GALNT15	stress
GALNTL5	stress
GALNTL6	stress
GNA15	stress
GSKIP	stress
GXYLT2	stress
HIPK1	stress
CAST	wound
MAPK8	wound
SLC3A1	wound
SRSF11	wound
HPSE	wound
BMPR1B	wound
YWHAZ	wound
IFNGR1	wound
CANX	wound
SELP	wound
SLC1A1	wound
VCAN	wound
COL5A1	wound
HLA-DMA	wound
PSAP	wound
RCN2	wound
TNFRSF1A	wound
VDAC2	wound
CD80	wound
LAMP2	wound
RAB1A	wound
TGFBR1	wound
CCL2	wound
ARL1	wound
CCDC88A	wound
CTNNB1	wound
ENTPD1	wound
MRPL52	wound
HACD3	wound
SPCS1	wound
CYP19A1	wound
NLN	wound
SAR1A	wound
SLC39A14	wound
VWF	wound
ALG2	wound
ARPC1B	wound
DYNC1I2	wound
EML4	wound
FBXO21	wound
ITGAV	wound
NPC2	wound
SH3GLB2	wound
ADIPOR2	wound
APOE	wound
DHRS7	wound
ITGB1	wound
NR2F2	wound
NSF	wound
PMAIP1	wound
PPP2CA	wound
RAB10	wound
ARF4	wound
ARPC1A	wound
CASP3	wound
CD86	wound
CLTC	wound
DAZAP2	wound
DNMT1	wound
EIF4A2	wound
FOLR1	wound
NAP1L1	wound
NFKBIA	wound
