label	gene
upregulated.regen	RBM14
upregulated.regen	RGS5
upregulated.regen	RHOF
upregulated.regen	RNF13
upregulated.regen	RPA2
upregulated.regen	RTP3
upregulated.regen	SAMSN1
upregulated.regen	SATB1
upregulated.regen	SDC1
upregulated.regen	SEC22A
upregulated.regen	SERP1
upregulated.regen	SERPINF1
upregulated.regen	SESN3
upregulated.regen	SIAE
upregulated.regen	SKIL
upregulated.regen	SLC27A2
upregulated.regen	SLC2A3
upregulated.regen	SLC31A1
upregulated.regen	SMC2
upregulated.regen	SMC4
upregulated.regen	SPIB
upregulated.regen	SSBP2
upregulated.regen	ST8SIA1
upregulated.regen	STXBP6
upregulated.regen	SULT6B1
upregulated.regen	TACC2
upregulated.regen	TFR2
upregulated.regen	TFRC
upregulated.regen	TJP1
upregulated.regen	TLCD1
upregulated.regen	TMEM213
upregulated.regen	TMEM45A
upregulated.regen	TMEM50B
upregulated.regen	TNFAIP2
upregulated.regen	TNFAIP6
upregulated.regen	TNFRSF6B
upregulated.regen	TOMM40
upregulated.regen	TPPP3
upregulated.regen	TRAK1
upregulated.regen	TSPAN3
upregulated.regen	TUBA1B
upregulated.regen	UNC13D
upregulated.regen	VWF
upregulated.regen	WDR43
upregulated.regen	WFDC1
upregulated.regen	YBX1
upregulated.regen	ZPLD1
upregulated.regen	ACP6
upregulated.regen	ADAM28
upregulated.regen	ADAM9
upregulated.regen	ADAMTS15
upregulated.regen	AFMID
upregulated.regen	ALOX12
upregulated.regen	ANGPTL4
upregulated.regen	APOBR
upregulated.regen	APOD
upregulated.regen	AQP12A
upregulated.regen	ARHGAP27
upregulated.regen	ARHGDIB
upregulated.regen	ASGR1
upregulated.regen	ATIC
upregulated.regen	B3GNT2
upregulated.regen	BCAR3
upregulated.regen	BCAT1
upregulated.regen	BDNF
upregulated.regen	BTBD6
upregulated.regen	BTK
upregulated.regen	C1QTNF2
upregulated.regen	C7
upregulated.regen	CABLES1
upregulated.regen	CALB1
upregulated.regen	CALHM1
upregulated.regen	CAPN2
upregulated.regen	CAPSL
upregulated.regen	CARTPT
upregulated.regen	CAT
upregulated.regen	CCDC80
upregulated.regen	CCNL2
upregulated.regen	CD63
upregulated.regen	CD74
upregulated.regen	CDC25A
upregulated.regen	CERK
upregulated.regen	CFB
upregulated.regen	CHN1
upregulated.regen	CLCA2
upregulated.regen	CLDN4
upregulated.regen	CLU
upregulated.regen	CNPY2
upregulated.regen	COL17A1
upregulated.regen	COL23A1
upregulated.regen	CRTAC1
upregulated.regen	CRYBA2
upregulated.regen	CSF1R
upregulated.regen	CSRNP1
upregulated.regen	CST7
upregulated.regen	CTSH
upregulated.regen	CYP3A4
upregulated.regen	DAPK3
upregulated.regen	DDX60
upregulated.regen	DENND2C
upregulated.regen	DHFR
upregulated.regen	DLGAP5
upregulated.regen	DNAJB11
upregulated.regen	DNMT1
