gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less7,mmusculus_stress_up_Fraction_sp_less6,mmusculus_stress_up_Fraction_sp_less5,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
RAET1G,0.08130570946759817,0.023608768971332208,0.0015658877378944833,0.00012045290291496025,0.0,0.0,0.0,0.0
TBX21,0.3171524933750903,0.29197783666586363,0.19657913755721512,0.06962177788484702,0.01830884124307396,0.0021681522524692846,0.0021681522524692846,0.0
FAM3B,0.31739339918092024,0.29354372440375814,0.2063358226933269,0.06600819079739821,0.012286196097325945,0.0008431703204047217,0.0008431703204047217,0.0
TBX22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAET1L,0.29017104312213926,0.19043603950855215,0.06070826306913996,0.010358949650686582,0.000963623223319682,0.0,0.0,0.0
FAM153A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERBB2,0.30317995663695496,0.23921946518911105,0.10202360876897133,0.0187906528547338,0.0042158516020236085,0.00012045290291496025,0.00012045290291496025,0.0
ERBB3,0.30896169597687306,0.2586123825584197,0.13526860997350035,0.025415562515056615,0.007347627077812576,0.00036135870874488076,0.00036135870874488076,0.0
ATPAF1,0.3196820043363045,0.31100939532642735,0.2624668754516984,0.13502770416767043,0.0287882437966755,0.003493134184533847,0.003493134184533847,0.0
SHC1,0.2748735244519393,0.17019995181883885,0.08118525656468321,0.026620091544206217,0.001927246446639364,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SHC2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SHC3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPR1,0.3108889424235124,0.26499638641291257,0.15165020476993496,0.04143579860274633,0.015779330281859794,0.00457721031076849,0.00457721031076849,0.0
FPR2,0.3066730908214888,0.24632618646109372,0.12009154420621537,0.03974945796193688,0.013731630932305469,0.0013249819320645627,0.0013249819320645627,0.0
FPR3,0.31257528306432186,0.2699349554324259,0.16297277764394122,0.05167429535051795,0.017345218019754277,0.0055408335340881715,0.0055408335340881715,0.0
SMPDL3A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
TRANK1,0.3141411708022163,0.2770416767044086,0.16803179956636954,0.04613346181642978,0.002529510961214165,0.0,0.0,0.0
ZCWPW1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDC16,0.3139002649963864,0.28306432185015656,0.17405444471211756,0.06239460370994941,0.01409298964105035,0.0006022645145748012,0.0006022645145748012,0.0
AHNAK,0.3196820043363045,0.3113707540351722,0.2563237774030354,0.13249819320645628,0.05299927728258251,0.007106721271982655,0.007106721271982655,0.0
