gene_mmusculus_stress_down,mmusculus_stress_down_Fraction_sp_less4,mmusculus_stress_down_Fraction_sp_less3,mmusculus_stress_down_Fraction_sp_less2,mmusculus_stress_down_Fraction_sp_1,mmusculus_stress_down_Fraction_sp_0
CHST12,0.10560747663551402,0.0050323508267433505,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
CHST13,0.17994248741912294,0.01128684399712437,0.0002875629043853343,0.0002875629043853343,0.0
CHST7,0.05276779295470884,0.0017253774263120058,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
CHSY1,0.12005751258087707,0.005391804457225018,0.0003594536304816679,0.0003594536304816679,0.0
CHSY3,0.12005751258087707,0.005391804457225018,0.0003594536304816679,0.0003594536304816679,0.0
NCAN,0.21603163191948238,0.016031631919482387,0.00100647016534867,0.00100647016534867,0.0
CHPF2,0.15276779295470885,0.010352264557872035,7.189072609633358e-05,7.189072609633358e-05,0.0
EPT1,0.26621135873472324,0.04694464414090582,0.0005751258087706686,0.0005751258087706686,0.0
LPCAT1,0.1582314881380302,0.005463695183321351,0.0003594536304816679,0.0003594536304816679,0.0
LPCAT2,0.19784327821710998,0.015528396836808052,0.0003594536304816679,0.0003594536304816679,0.0
LPCAT3,0.2087706685837527,0.010208483105679367,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
PLA2G7,0.20611071171818834,0.016319194823867723,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
PTDSS1,0.23673616103522646,0.025377426312005753,0.0003594536304816679,0.0003594536304816679,0.0
GDF7,0.24033069734004314,0.04191229331416247,0.0002875629043853343,0.0002875629043853343,0.0
NPBWR1,0.18382458662832496,0.011143062544931704,0.000503235082674335,0.000503235082674335,0.0
MCHR2,0.17735442127965492,0.00826743350107836,0.00043134435657800146,0.00043134435657800146,0.0
NMBR,0.21876347951114306,0.01833213515456506,0.000503235082674335,0.000503235082674335,0.0
CHRM5,0.11322789360172537,0.003666427030913012,0.00021567217828900073,0.00021567217828900073,0.0
CHRNA1,0.03371675053918045,0.0008626887131560029,0.0,0.0,0.0
CHRND,0.16865564342199857,0.0098490294751977,0.0,0.0,0.0
CHRNE,0.0008626887131560029,0.0,0.0,0.0,0.0
CHRNG,0.0008626887131560029,0.0,0.0,0.0,0.0
ITGA7,0.25578720345075484,0.0297627606038821,0.0008626887131560029,0.0008626887131560029,0.0
CHRNA2,0.03335729690869878,0.0002875629043853343,0.0,0.0,0.0
CHRNA3,0.03335729690869878,0.0002875629043853343,0.0,0.0,0.0
CHRNA4,0.21358734723220704,0.0098490294751977,0.00014378145219266715,0.00014378145219266715,0.0
CHRNB2,0.14579439252336449,0.006326383896477355,0.0,0.0,0.0
CHRNB4,0.046441409058231485,0.0002875629043853343,0.0,0.0,0.0
CHRNA5,0.1884255930984903,0.015025161754133716,0.0,0.0,0.0
CHRNB1,0.1205607476635514,0.004169662113587347,0.0,0.0,0.0
CHST1,0.13508267433501078,0.0052480230050323505,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
CHST5,0.016822429906542057,0.0006470165348670022,0.00021567217828900073,0.00021567217828900073,0.0
CHST6,0.024874191229331415,0.0006470165348670022,0.00021567217828900073,0.00021567217828900073,0.0
PRELP,0.15025161754133717,0.010208483105679367,0.0009345794392523365,0.0008626887131560029,7.189072609633358e-05
CHST15,0.1560747663551402,0.007907979870596693,0.00021567217828900073,0.00021567217828900073,0.0
