gene_mmusculus_stress_up,mmusculus_stress_up_Fraction_sp_less4,mmusculus_stress_up_Fraction_sp_less3,mmusculus_stress_up_Fraction_sp_less2,mmusculus_stress_up_Fraction_sp_1,mmusculus_stress_up_Fraction_sp_0
OLFM4,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
PAPPA,0.21854031783402,0.03260741612713361,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
VSIG4,0.06786344908769865,0.0014125956444967628,0.0,0.0,0.0
RGS18,0.15250147145379636,0.010123602118893467,0.00047086521483225425,0.00047086521483225425,0.0
C3ORF1,0.1716892289582107,0.01718658034137728,0.0,0.0,0.0
C3orf10,0.11677457327839906,0.004649793996468511,0.0,0.0,0.0
C3ORF14,0.087051206592113,0.0028251912889935256,0.0,0.0,0.0
C3ORF17,0.22283696291936433,0.04826368452030606,5.885815185403178e-05,5.885815185403178e-05,0.0
C3ORF19,0.21094761624484992,0.030547380812242494,0.00011771630370806356,0.00011771630370806356,0.0
C3ORF21,0.17951736315479694,0.020659211300765156,0.0,0.0,0.0
C3ORF26,0.19717480871100648,0.025191288993525605,5.885815185403178e-05,5.885815185403178e-05,0.0
C3ORF31,0.17951736315479694,0.020659211300765156,0.0,0.0,0.0
C3ORF32,0.13484402589758682,0.005532666274278988,0.0,0.0,0.0
C3ORF33,0.17951736315479694,0.020659211300765156,0.0,0.0,0.0
RABL2B,0.009535020600353149,5.885815185403178e-05,0.0,0.0,0.0
C3ORF36,0.19005297233666862,0.026603884638022365,5.885815185403178e-05,5.885815185403178e-05,0.0
C3ORF37,0.16138905238375514,0.014420247204237787,0.0,0.0,0.0
C3ORF43,0.19287816362566215,0.02183637433784579,0.00011771630370806356,0.00011771630370806356,0.0
C3ORF49,0.17951736315479694,0.020659211300765156,0.0,0.0,0.0
C3ORF54,0.17951736315479694,0.020659211300765156,0.0,0.0,0.0
C3ORF58,0.16138905238375514,0.014420247204237787,0.0,0.0,0.0
C3ORF59,0.12960565038257799,0.009181871689228958,0.0,0.0,0.0
C3ORF63,0.11253678634490877,0.0063566804002354324,0.0,0.0,0.0
C3orf63,0.05968216597998823,0.00164802825191289,0.0,0.0,0.0
C3ORF72,0.10988816951147734,0.006827545615067687,0.00011771630370806356,0.00011771630370806356,0.0
C3ORF75,0.17604473219540906,0.02142436727486757,5.885815185403178e-05,5.885815185403178e-05,0.0
MASP2,0.07516185991759859,0.0017657445556209534,0.00011771630370806356,0.00011771630370806356,0.0
PROS1,0.12589758681577398,0.005532666274278988,5.885815185403178e-05,0.0,5.885815185403178e-05
C4BPB,0.20835785756327252,0.02707474985285462,0.00011771630370806356,0.00011771630370806356,0.0
NFIA,0.22230723955267803,0.031077104178928783,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
NFIC,0.21247792819305475,0.021895232489699823,0.0003531489111241907,0.0002942907592701589,5.885815185403178e-05
C4ORF10,0.11059446733372572,0.00594467333725721,5.885815185403178e-05,5.885815185403178e-05,0.0
COL9A2,0.15344320188346086,0.007828134196586227,0.001059446733372572,0.001059446733372572,0.0
MPP3,0.192583872866392,0.013066509711595056,0.0004120070629782225,0.0004120070629782225,0.0
NFU1,0.19970570924072983,0.02319011183048852,0.00017657445556209535,0.00017657445556209535,0.0
C4ORF17,0.16486168334314302,0.008298999411418482,0.00011771630370806356,0.00011771630370806356,0.0
C4orf17,0.16939376103590348,0.008946439081812831,0.00011771630370806356,0.00011771630370806356,0.0
C4ORF19,0.20670982931135962,0.02742789876397881,0.0,0.0,0.0
C4ORF27,0.07121836374337846,0.0013537374926427311,5.885815185403178e-05,5.885815185403178e-05,0.0
C4ORF29,0.08734549735138317,0.005356091818716892,5.885815185403178e-05,5.885815185403178e-05,0.0
C4ORF32,0.13596233078281342,0.007886992348440258,5.885815185403178e-05,5.885815185403178e-05,0.0
C4ORF33,0.19570335491465568,0.01783402001177163,0.00011771630370806356,0.00011771630370806356,0.0
C4ORF34,0.19164214243672748,0.018304885226603885,0.00011771630370806356,0.00011771630370806356,0.0
C4ORF41,0.20176574455562096,0.020247204237786934,5.885815185403178e-05,5.885815185403178e-05,0.0
C4ORF42,0.059799882283696294,0.0018246027074749853,5.885815185403178e-05,5.885815185403178e-05,0.0
C4ORF43,0.21447910535609183,0.03672748675691583,0.00017657445556209535,0.00017657445556209535,0.0
C4ORF46,0.1959387875220718,0.02142436727486757,5.885815185403178e-05,5.885815185403178e-05,0.0
C4ORF49,0.1551500882872278,0.009829311359623307,5.885815185403178e-05,5.885815185403178e-05,0.0
C5R1,0.13766921718658034,0.006121247792819306,0.0,0.0,0.0
C6,0.15585638610947616,0.005591524426133019,0.0,0.0,0.0
C7,0.1476162448499117,0.005768098881695115,5.885815185403178e-05,5.885815185403178e-05,0.0
C8A,0.09605650382577988,0.0012948793407886992,5.885815185403178e-05,5.885815185403178e-05,0.0
C8B,0.16121247792819304,0.01153619776339023,5.885815185403178e-05,5.885815185403178e-05,0.0
C8G,0.19417304296645085,0.02707474985285462,5.885815185403178e-05,5.885815185403178e-05,0.0
C9,0.13749264273101824,0.00264861683343143,0.00011771630370806356,0.00011771630370806356,0.0
C5ORF13,0.026309593878752206,0.000824014125956445,0.0,0.0,0.0
C5orf13,0.1557386698057681,0.00429664508534432,0.0,0.0,0.0
ULK3,0.22778104767510302,0.04785167745732784,0.0005885815185403178,0.0005885815185403178,0.0
C5ORF22,0.18045909358446144,0.018304885226603885,5.885815185403178e-05,5.885815185403178e-05,0.0
C5ORF24,0.18917010005885815,0.02083578575632725,0.00011771630370806356,0.00011771630370806356,0.0
C5orf25,0.18552089464390817,0.015479693937610358,0.00011771630370806356,0.00011771630370806356,0.0
C5ORF25,0.1529723366686286,0.01188934667451442,0.00011771630370806356,0.00011771630370806356,0.0
C5ORF27,0.22878163625662154,0.06009417304296645,0.00023543260741612713,0.00023543260741612713,0.0
C5ORF28,0.16539140670982933,0.01483225426721601,0.0,0.0,0.0
C5ORF33,0.20935844614479104,0.03272513243084167,0.00011771630370806356,0.00011771630370806356,0.0
C5ORF34,0.10735726898175398,0.007239552678045909,0.0,0.0,0.0
