gene_xlaevis_wound_down,xlaevis_wound_down_Fraction_sp_less7,xlaevis_wound_down_Fraction_sp_less6,xlaevis_wound_down_Fraction_sp_less5,xlaevis_wound_down_Fraction_sp_less4,xlaevis_wound_down_Fraction_sp_less3,xlaevis_wound_down_Fraction_sp_less2,xlaevis_wound_down_Fraction_sp_1,xlaevis_wound_down_Fraction_sp_0
EPN1,0.08190112454911945,0.04943772544027159,0.0244005941014216,0.015064714619138553,0.0038192234245703373,0.000424358158285593,0.0002121790791427965,0.0002121790791427965
PARP2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PARP3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ALDH4A1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVL,0.0674729471674093,0.02249098238913643,0.009335879482283047,0.0019096117122851686,0.0006365372374283895,0.0002121790791427965,0.0002121790791427965,0.0
FGF22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGF23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGF20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FGF21,0.007426267769997878,0.0019096117122851686,0.001273074474856779,0.001273074474856779,0.000848716316571186,0.0006365372374283895,0.0006365372374283895,0.0
MPST,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ALDH7A1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HMGXB3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HMGXB4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BAHD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAX1,0.11012094207511139,0.072989603225122,0.033099936346276254,0.015276893698281349,0.005941014215998302,0.000848716316571186,0.000848716316571186,0.0
MYLPF,0.25,0.25,0.25,0.25,0.25,0.25,0.16666666666666666,0.08333333333333333
YES1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECT2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZCCHC9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
