gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
ZNF177,0.25923795830337887,0.026815240833932424,7.189072609633358e-05,7.189072609633358e-05,0.0
VPS39,0.27886412652767795,0.02192667145938174,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
NELFE,0.19158878504672897,0.003522645578720345,0.0002875629043853343,0.00021567217828900073,7.189072609633358e-05
SCHIP1,0.17138749101365924,0.009489575844716032,0.00014378145219266715,0.00014378145219266715,0.0
SGSM3,0.100215672178289,0.0011502516175413372,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
NFAM1,0.2437095614665708,0.017757009345794394,7.189072609633358e-05,7.189072609633358e-05,0.0
PCDH15,0.15341480948957584,0.005895039539899353,7.189072609633358e-05,7.189072609633358e-05,0.0
OSCAR,0.14385334291876348,0.0034507548526240116,7.189072609633358e-05,7.189072609633358e-05,0.0
SSX5,0.16542056074766356,0.006110711718188354,0.0,0.0,0.0
ZNF358,0.1831056793673616,0.008554996405463694,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
TPD52L3,0.08066139468008626,0.0003594536304816679,0.0,0.0,0.0
NFKBID,0.2561466570812365,0.015384615384615385,7.189072609633358e-05,7.189072609633358e-05,0.0
ODF3B,0.29424874191229333,0.03393242271746945,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
SLC9A8,0.2383177570093458,0.011430625449317038,7.189072609633358e-05,7.189072609633358e-05,0.0
TAPBPL,0.25319913731128685,0.017972681524083392,7.189072609633358e-05,7.189072609633358e-05,0.0
TNIP3,0.2743350107836089,0.024730409777138748,0.00014378145219266715,0.00014378145219266715,0.0
TYW3,0.2930265995686556,0.030337886412652768,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
PPP6R1,0.32652767792954707,0.0629762760603882,0.0002875629043853343,0.0002875629043853343,0.0
PPP6R2,0.26398274622573686,0.025521207764198417,0.00043134435657800146,0.0003594536304816679,7.189072609633358e-05
NFXL1,0.199568655643422,0.020416966211358734,0.0,0.0,0.0
PPWD1,0.21279654924514738,0.013371675053918045,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
R3HDM1,0.2079079798705967,0.014809489575844716,0.0,0.0,0.0
TBC1D22B,0.27009345794392525,0.024083393242271746,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
TMEM217,0.27009345794392525,0.024083393242271746,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
TMX2,0.23450754852624012,0.021998562185478073,0.0,0.0,0.0
ZNF273,0.21516894320632637,0.013443565780014379,7.189072609633358e-05,7.189072609633358e-05,0.0
ZRANB3,0.2079079798705967,0.014809489575844716,7.189072609633358e-05,0.0,7.189072609633358e-05
PDP2,0.25319913731128685,0.024299065420560748,7.189072609633358e-05,7.189072609633358e-05,0.0
PDZD7,0.20589503953989935,0.016606757728253055,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
PIF1,0.23501078360891445,0.015168943206326384,0.00014378145219266715,0.00014378145219266715,0.0
PTPDC1,0.23515456506110713,0.023220704529115743,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
RPSAP58,0.1884255930984903,0.011574406901509706,7.189072609633358e-05,7.189072609633358e-05,0.0
SFXN3,0.20589503953989935,0.016606757728253055,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
SS18L2,0.1884255930984903,0.011574406901509706,7.189072609633358e-05,7.189072609633358e-05,0.0
TMTC4,0.1884255930984903,0.011574406901509706,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
ZNF43,0.1884255930984903,0.011574406901509706,7.189072609633358e-05,7.189072609633358e-05,0.0
ZNF430,0.1884255930984903,0.011574406901509706,7.189072609633358e-05,7.189072609633358e-05,0.0
ZNF556,0.28274622573687996,0.026168224299065422,0.00014378145219266715,0.00014378145219266715,0.0
ZNF823,0.27030913012221425,0.027030913012221422,0.00021567217828900073,0.00021567217828900073,0.0
SORCS3,0.18964773544212796,0.0051761322789360175,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
ROR1,0.2252336448598131,0.0199137311286844,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
OMG,0.24018691588785046,0.008770668583752696,0.00014378145219266715,0.00014378145219266715,0.0
TUBG2,0.20409777138749102,0.00805176132278936,7.189072609633358e-05,7.189072609633358e-05,0.0
PHF5A,0.3192667145938174,0.03968368080517613,0.001869158878504673,0.001869158878504673,0.0
NIPAL4,0.24464414090582315,0.01689432063263839,7.189072609633358e-05,7.189072609633358e-05,0.0
NIT1,0.21171818835370237,0.00826743350107836,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
RNF25,0.3284687275341481,0.06161035226455787,0.00021567217828900073,0.00021567217828900073,0.0
NKG7,0.23623292595255213,0.012508986340762042,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
NKPD1,0.23623292595255213,0.012508986340762042,7.189072609633358e-05,7.189072609633358e-05,0.0
NKX2-8,0.13414809489575844,0.007260963335729691,0.0,0.0,0.0
NLRP6,0.20158159597411934,0.011574406901509706,7.189072609633358e-05,7.189072609633358e-05,0.0
TMEM8A,0.047735442127965495,0.0017253774263120058,0.0,0.0,0.0
NMRK1,0.1190510424155284,0.0016534867002156721,0.00021567217828900073,0.00014378145219266715,7.189072609633358e-05
NMRK2,0.06930265995686556,0.0017972681524083393,7.189072609633358e-05,7.189072609633358e-05,0.0
NNAT,0.1537742631200575,0.0030913012221423434,7.189072609633358e-05,0.0,7.189072609633358e-05
NOMO3,0.1083393242271747,0.002659956865564342,7.189072609633358e-05,7.189072609633358e-05,0.0
SYN2,0.23838964773544213,0.013515456506110711,0.00021567217828900073,0.00021567217828900073,0.0
SPSB4,0.1723939611790079,0.005823148813803019,0.0,0.0,0.0
CNTN6,0.1901509705248023,0.0051761322789360175,7.189072609633358e-05,0.0,7.189072609633358e-05
POGLUT1,0.20158159597411934,0.005463695183321351,7.189072609633358e-05,0.0,7.189072609633358e-05
PTCRA,0.23882099209202012,0.00826743350107836,7.189072609633358e-05,7.189072609633358e-05,0.0
RFNG,0.2436376707404745,0.018404025880661395,7.189072609633358e-05,7.189072609633358e-05,0.0
ABHD16A,0.04996405463695183,0.0013659237958303378,7.189072609633358e-05,7.189072609633358e-05,0.0
NOVA1,0.21473759884974838,0.007260963335729691,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
RHOXF1,0.06793673616103522,0.0013659237958303378,7.189072609633358e-05,7.189072609633358e-05,0.0
NPC1L1,0.20395398993529834,0.009202012940330698,0.00014378145219266715,0.00014378145219266715,0.0
NPHP3,0.026527677929547088,0.00043134435657800146,7.189072609633358e-05,7.189072609633358e-05,0.0
RPGRIP1L,0.2653486700215672,0.025449317038102087,0.00014378145219266715,0.00014378145219266715,0.0
KIRREL3,0.023867721063982748,0.0005751258087706686,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
UBXN10,0.1755571531272466,0.004601006470165349,7.189072609633358e-05,7.189072609633358e-05,0.0
UBXN8,0.17907979870596694,0.004744787922358016,0.00014378145219266715,0.00014378145219266715,0.0
SENP5,0.22135154565061108,0.004601006470165349,7.189072609633358e-05,0.0,7.189072609633358e-05
NPR3,0.12437095614665708,0.0019410496046010064,0.00014378145219266715,0.00014378145219266715,0.0
SETBP1,0.2526959022286125,0.021567217828900073,0.00014378145219266715,0.00014378145219266715,0.0
NPTX1,0.1415528396836808,0.007548526240115025,7.189072609633358e-05,0.0,7.189072609633358e-05
NR2C2AP,0.2184040258806614,0.014234363767074048,0.0,0.0,0.0
SCG5,0.1888569374550683,0.006398274622573688,0.00014378145219266715,7.189072609633358e-05,7.189072609633358e-05
SLC10A1,0.15880661394680087,0.0052480230050323505,0.0003594536304816679,0.0002875629043853343,7.189072609633358e-05
