gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
TOPORS,0.17857412297246322,0.021803093172387777,0.00015088645794039985,0.00015088645794039985,0.0
PSD3,0.24858543945680875,0.06654092795171633,0.0012825348924933987,0.0012825348924933987,0.0
PSD2,0.194718973972086,0.02036967182195398,0.00015088645794039985,0.00015088645794039985,0.0
PSD4,0.26601282534892495,0.1813655224443606,0.017276499434175783,0.017201056205205584,7.544322897019993e-05
R3HDM1,0.23153526970954358,0.03938136552244436,0.00015088645794039985,0.00015088645794039985,0.0
R3HDM2,0.23296869105997736,0.04835910976989815,0.0008298755186721991,0.0008298755186721991,0.0
ORMDL2,0.25952470765748775,0.12614107883817427,0.003998491135420596,0.003998491135420596,0.0
ORMDL3,0.21327800829875518,0.02074688796680498,7.544322897019993e-05,7.544322897019993e-05,0.0
ORMDL1,0.25032063372312335,0.08623161071293851,0.003017729158807997,0.003017729158807997,0.0
CD3D,0.26080724254998117,0.12387778196906828,0.018106374952847983,0.018106374952847983,0.0
CD3E,0.26163711806865336,0.13051678611844586,0.02021878536401358,0.02014334213504338,7.544322897019993e-05
CD3G,0.26058091286307056,0.12282157676348547,0.017427385892116183,0.017427385892116183,0.0
ACADS,0.26254243681629574,0.12795171633345906,0.0033949453036589967,0.0033949453036589967,0.0
KAT2B,0.16114673708034705,0.009128630705394191,0.0,0.0,0.0
KAT2A,0.25582798943794793,0.1032063372312335,0.005431912485854395,0.005431912485854395,0.0
SEC16A,0.24986797434930216,0.07317993210109393,0.0007544322897019992,0.0007544322897019992,0.0
SEC16B,0.17570728027159563,0.008298755186721992,0.00015088645794039985,0.00015088645794039985,0.0
ACADL,0.22218030931723878,0.025047152018106374,0.00045265937382119953,0.00045265937382119953,0.0
ACADM,0.25499811391927574,0.08962655601659751,0.0027913994718973974,0.0027913994718973974,0.0
NFE2,0.18008298755186722,0.023236514522821577,0.0006035458317615994,0.0006035458317615994,0.0
MADCAM1,0.24398340248962655,0.05499811391927575,0.00045265937382119953,0.00045265937382119953,0.0
KCNK12,0.1944926442851754,0.02285929837797058,0.0003017729158807997,0.00022632968691059977,7.544322897019993e-05
ATOX1,0.23425122595247078,0.04232365145228216,0.0006789890607317993,0.0006035458317615994,7.544322897019993e-05
ACAD8,0.22912108638249717,0.032893247831007166,0.00022632968691059977,0.00022632968691059977,0.0
ACAD9,0.23266691814409657,0.036288193134666163,0.0005281026027913995,0.0005281026027913995,0.0
UEVLD,0.24519049415314975,0.053413806110901546,0.0009053187476423991,0.0009053187476423991,0.0
ADAMTS10,0.2550735571482459,0.0986043002640513,0.005054696341003395,0.005054696341003395,0.0
ADAMTS13,0.26299509619011696,0.12712184081478686,0.004602036967182196,0.004602036967182196,0.0
PLCE1,0.22421727649943418,0.04888721237268955,0.00045265937382119953,0.00045265937382119953,0.0
ADAMTS14,0.08615616748396832,0.004073934364390796,0.0,0.0,0.0
ADAMTS17,0.14205960015088645,0.009204073934364392,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
DEF6,0.2653338362881931,0.16665409279517163,0.02089777442474538,0.02082233119577518,7.544322897019993e-05
DEF8,0.23674085250848736,0.04375707280271596,0.0006035458317615994,0.0006035458317615994,0.0
GALT,0.24066390041493776,0.05454545454545454,0.0008298755186721991,0.0007544322897019992,7.544322897019993e-05
SORD,0.24903809883062994,0.06601282534892493,0.002036967182195398,0.002036967182195398,0.0
GALE,0.26465484722746135,0.15458317615993963,0.01010939268200679,0.01010939268200679,0.0
GALC,0.22829121086382498,0.03032817804602037,0.0005281026027913995,0.0005281026027913995,0.0
GALM,0.1975858166729536,0.01086382497170879,0.00022632968691059977,0.00022632968691059977,0.0
CSNK2B,0.17329309694454922,0.01093926820067899,0.0,0.0,0.0
