gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
HELQ,1.0,1.0,1.0,0.0,1.0
CHI3L1,0.0,0.0,0.0,0.0,0.0
CLSPN,0.025651222907138595,0.006959634122091867,0.002585006959634122,0.0023861602704314975,0.00019884668920262477
HELZ,0.0,0.0,0.0,0.0,0.0
TEX19,0.006959634122091867,0.006561940743686618,0.00457347385166037,0.00457347385166037,0.0
MYADM,0.04633127858421157,0.01292503479817061,0.0015907735136209981,0.0015907735136209981,0.0
RBAK,0.0,0.0,0.0,0.0,0.0
TEKT1,0.0,0.0,0.0,0.0,0.0
TEKT4,0.0,0.0,0.0,0.0,0.0
FOS,0.0007953867568104991,0.0005965400676078744,0.00039769337840524953,0.00039769337840524953,0.0
SAFB2,0.01829389540664148,0.002585006959634122,0.00039769337840524953,0.00039769337840524953,0.0
SGK223,0.0,0.0,0.0,0.0,0.0
SEC14L2,1.0,1.0,1.0,0.0,1.0
SEC14L1,0.0,0.0,0.0,0.0,0.0
SEC14L5,0.0,0.0,0.0,0.0,0.0
UPF1,0.0,0.0,0.0,0.0,0.0
UPF2,0.011533107973752238,0.003976933784052496,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
IL1A,0.0,0.0,0.0,0.0,0.0
IL1B,1.0,1.0,1.0,0.0,1.0
KRT6B,1.0,1.0,1.0,0.0,1.0
KRT6A,0.5,0.5,0.5,0.0,0.5
COMP,0.020083515609465103,0.0023861602704314975,0.00019884668920262477,0.0,0.00019884668920262477
COMT,0.0,0.0,0.0,0.0,0.0
IL18,0.028236229866772718,0.0013919268244183733,0.00019884668920262477,0.00019884668920262477,0.0
IL19,0.0,0.0,0.0,0.0,0.0
IL10,1.0,1.0,1.0,0.0,1.0
IL11,0.0,0.0,0.0,0.0,0.0
IL13,0.0,0.0,0.0,0.0,0.0
IL15,0.0,0.0,0.0,0.0,0.0
IL16,0.006561940743686618,0.0005965400676078744,0.00019884668920262477,0.0,0.00019884668920262477
EFHD2,0.0,0.0,0.0,0.0,0.0
EFHD1,0.0,0.0,0.0,0.0,0.0
TEX11,1.0,1.0,1.0,0.0,1.0
PINX1,0.0,0.0,0.0,0.0,0.0
AEBP1,0.07277788824816067,0.036786637502485585,0.010538874527739113,0.010340027838536488,0.00019884668920262477
DSCR3,0.0,0.0,0.0,0.0,0.0
AEBP2,0.031020083515609465,0.005368860608470869,0.00019884668920262477,0.0,0.00019884668920262477
LTA4H,0.0,0.0,0.0,0.0,0.0
ABHD12B,0.0,0.0,0.0,0.0,0.0
ZDHHC21,0.0,0.0,0.0,0.0,0.0
ZDHHC23,0.033207397096838336,0.011731954662954862,0.00019884668920262477,0.00019884668920262477,0.0
ISL1,0.0,0.0,0.0,0.0,0.0
ISL2,0.0,0.0,0.0,0.0,0.0
KIFAP3,0.030224696758798967,0.003778087094849871,0.00019884668920262477,0.00019884668920262477,0.0
MS4A7,0.04374627162457745,0.025651222907138595,0.0063630940544839925,0.0063630940544839925,0.0
MROH7,0.040167031218930206,0.007357327500497117,0.00039769337840524953,0.00039769337840524953,0.0
MS4A2,0.375,0.375,0.375,0.375,0.0
MS4A1,0.04772320540862995,0.0232650626367071,0.004772320540862995,0.00457347385166037,0.00019884668920262477
ZNF141,0.0465301252734142,0.016305428514615233,0.0011930801352157488,0.0011930801352157488,0.0
ZNF140,0.045138198448995824,0.018890435474249352,0.001789620202823623,0.001789620202823623,0.0
ZNF143,0.0,0.0,0.0,0.0,0.0
ZNF142,1.0,1.0,1.0,0.0,1.0
DNTT,0.0,0.0,0.0,0.0,0.0
ZNF148,1.0,1.0,1.0,0.0,1.0
DSC2,0.05030821236826407,0.007755020878902366,0.000994233446013124,0.0007953867568104991,0.00019884668920262477
DDX31,0.0,0.0,0.0,0.0,0.0
DSC1,0.0,0.0,0.0,0.0,0.0
MAGOH,0.0,0.0,0.0,0.0,0.0
SOD2,0.0011930801352157488,0.0007953867568104991,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
C20orf27,0.0,0.0,0.0,0.0,0.0
RANGAP1,0.0,0.0,0.0,0.0,0.0
KCNN4,0.04971167230065619,0.016305428514615233,0.0005965400676078744,0.00039769337840524953,0.00019884668920262477
KCNN3,0.0,0.0,0.0,0.0,0.0
KCNN2,1.0,1.0,1.0,0.0,1.0
KCNN1,0.0,0.0,0.0,0.0,0.0
PKIG,0.07695366872141579,0.015311195068602108,0.0011930801352157488,0.0011930801352157488,0.0
PKIA,0.0,0.0,0.0,0.0,0.0
PKIB,0.01332272817657586,0.001789620202823623,0.0,0.0,0.0
NIT2,0.0,0.0,0.0,0.0,0.0
NIT1,0.001988466892026248,0.0,0.0,0.0,0.0
HCFC1R1,0.0,0.0,0.0,0.0,0.0
TYSND1,0.00457347385166037,0.00039769337840524953,0.00019884668920262477,0.0,0.00019884668920262477
INO80,0.0011930801352157488,0.0005965400676078744,0.00019884668920262477,0.0,0.00019884668920262477
CEND1,0.0,0.0,0.0,0.0,0.0
ACACA,0.0,0.0,0.0,0.0,0.0
CYHR1,0.010737721216941738,0.000994233446013124,0.0,0.0,0.0
CR1L,0.0,0.0,0.0,0.0,0.0
NUP153,0.014316961622588983,0.005170013919268244,0.0007953867568104991,0.0005965400676078744,0.00019884668920262477
NUP155,0.005170013919268244,0.0011930801352157488,0.00019884668920262477,0.00019884668920262477,0.0
SORCS2,1.0,1.0,1.0,0.0,1.0
SORCS3,0.0,0.0,0.0,0.0,0.0
CARS2,0.0,0.0,0.0,0.0,0.0
GPKOW,0.0,0.0,0.0,0.0,0.0
NANOG,0.0,0.0,0.0,0.0,0.0
RRH,0.0,0.0,0.0,0.0,0.0
