gene_hsapiens_stress_up,hsapiens_stress_up_Fraction_sp_less7,hsapiens_stress_up_Fraction_sp_less6,hsapiens_stress_up_Fraction_sp_less5,hsapiens_stress_up_Fraction_sp_less4,hsapiens_stress_up_Fraction_sp_less3,hsapiens_stress_up_Fraction_sp_less2,hsapiens_stress_up_Fraction_sp_1,hsapiens_stress_up_Fraction_sp_0
PIAS1,0.25897374126716455,0.20332450012045292,0.09431462298241387,0.02927005540833534,0.006624909660322814,0.00036135870874488076,0.00036135870874488076,0.0
PIAS4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF319,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
GSTP1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ST18,0.2680077089857866,0.2185015658877379,0.1033485907010359,0.02288605155384245,0.0036135870874488074,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
AP4M1,0.27366899542278966,0.254516983859311,0.17441580342086244,0.07106721271982655,0.020717899301373164,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
PIF1,0.25788966514092987,0.1997109130330041,0.08564201397253673,0.03155866056371959,0.0055408335340881715,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
BRK1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDHA,0.26728499156829677,0.23693086003372682,0.12924596482775236,0.02409058058299205,0.0027704167670440857,0.0002409058058299205,0.0002409058058299205,0.0
SDHC,0.2688508793061913,0.24620573355817876,0.15140929896410504,0.03456998313659359,0.005661286437003131,0.0002409058058299205,0.0002409058058299205,0.0
SDHB,0.27390990122861963,0.260539629005059,0.2045290291496025,0.08853288364249579,0.013008913514815708,0.0012045290291496024,0.0012045290291496024,0.0
SDHD,0.2639123102866779,0.2269332690917851,0.1169597687304264,0.020115634786798363,0.0020476993495543243,0.0,0.0,0.0
SMG5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SMG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLG2,0.27005540833534086,0.23416044326668273,0.12984822934232715,0.03228137798120935,0.005420380631173212,0.00012045290291496025,0.00012045290291496025,0.0
DLG5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
DLG4,0.2763189592869188,0.2629486870633582,0.21344254396530957,0.09130330040953986,0.025776921223801492,0.0018067935437244037,0.0018067935437244037,0.0
SYS1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SMG8,0.23861720067453626,0.14080944350758853,0.03746085280655264,0.005420380631173212,0.0012045290291496024,0.000481811611659841,0.000481811611659841,0.0
