gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
RMND5A,0.26767257638626935,0.027687665032063373,0.0003772161448509996,0.0003017729158807997,7.544322897019993e-05
RMND5B,0.1917766880422482,0.006714447378347793,7.544322897019993e-05,7.544322897019993e-05,0.0
SEPT11,0.33466616371180685,0.11746510750660129,0.006261788004526593,0.006261788004526593,0.0
PISD,0.3342135043379857,0.11391927574500188,0.0031686156167483968,0.0031686156167483968,0.0
AP3B1,0.3029045643153527,0.05424368162957375,0.0006789890607317993,0.0006789890607317993,0.0
AP3B2,0.33768389287061484,0.12976235382874388,0.005431912485854395,0.0053564692568841945,7.544322897019993e-05
SPAG7,0.25597887589588836,0.018257261410788383,0.00022632968691059977,0.00022632968691059977,0.0
CD320,0.08140324405884572,0.0015843078083741984,7.544322897019993e-05,0.0,7.544322897019993e-05
SPAG4,0.33225198038476045,0.0973972086005281,0.001961523953225198,0.001886080724254998,7.544322897019993e-05
SPAG5,0.34017351942663143,0.13436439079592608,0.004752923425122595,0.004752923425122595,0.0
VCX3A,0.2626933232742361,0.027159562429271974,0.0027159562429271973,0.0027159562429271973,0.0
PPP1CB,0.34424745379102223,0.15714824594492643,0.006714447378347793,0.006714447378347793,0.0
PPP1CC,0.24451150509241795,0.013881554130516786,0.0,0.0,0.0
PPP1CA,0.35231987929083364,0.24662391550358356,0.026178800452659374,0.026178800452659374,0.0
MPPED1,0.31942663145982647,0.08479818936250472,0.001131648434552999,0.001131648434552999,0.0
MPPED2,0.32863070539419087,0.11452282157676348,0.003847604677480196,0.003772161448509996,7.544322897019993e-05
SRP9,0.32712184081478685,0.08245944926442851,0.0016597510373443983,0.0016597510373443983,0.0
ZYX,0.34794417201056205,0.1892116182572614,0.011316484345529988,0.011316484345529988,0.0
ZNF460,0.28962655601659754,0.04632214258770275,0.0007544322897019992,0.0006789890607317993,7.544322897019993e-05
HIF1AN,0.2893247831007167,0.026782346284420975,0.0007544322897019992,0.0007544322897019992,0.0
DENND3,0.34394568087514144,0.15745001886080726,0.012749905695963787,0.012674462466993587,7.544322897019993e-05
BLNK,0.3499811391927575,0.21961523953225198,0.02233119577517918,0.02233119577517918,0.0
NUCB1,0.34032440588457186,0.13142210486608827,0.0029422859298377972,0.0029422859298377972,0.0
HSDL1,0.34485099962278387,0.16771029800075443,0.010712938513768389,0.010637495284798189,7.544322897019993e-05
NUCB2,0.2980761976612599,0.03047906450396077,0.0009053187476423991,0.0008298755186721991,7.544322897019993e-05
SOCS5,0.34485099962278387,0.18046020369671822,0.012297246322142588,0.012297246322142588,0.0
SOCS4,0.26110901546586196,0.033949453036589965,0.00015088645794039985,0.00015088645794039985,0.0
SOCS7,0.3358732553753301,0.12221803093172388,0.003847604677480196,0.003847604677480196,0.0
SOCS6,0.14062617880045267,0.006639004149377593,7.544322897019993e-05,7.544322897019993e-05,0.0
SOCS1,0.2528857035081101,0.03576009053187476,0.00022632968691059977,0.00015088645794039985,7.544322897019993e-05
SRPR,0.32350056582421727,0.07710298000754433,0.0015843078083741984,0.0015843078083741984,0.0
SOCS3,0.3296869105997737,0.09415314975480951,0.004903809883062995,0.004828366654092795,7.544322897019993e-05
SOCS2,0.3169370049038099,0.0958129007921539,0.004224820822331196,0.004224820822331196,0.0
PPP2CA,0.3317993210109393,0.0946058091286307,0.002263296869105998,0.002263296869105998,0.0
PPP2CB,0.32983779705771404,0.11784232365145228,0.001886080724254998,0.001886080724254998,0.0
VPS72,0.2990569596378725,0.042927197284043754,0.0006035458317615994,0.0006035458317615994,0.0
IL1R2,0.34703885326291967,0.1933609958506224,0.012825348924933987,0.012749905695963787,7.544322897019993e-05
IL1R1,0.3293851376838929,0.10697849867974349,0.0034703885326291964,0.0033949453036589967,7.544322897019993e-05
PTN,0.33934364390795924,0.14605809128630706,0.00995850622406639,0.009883062995096191,7.544322897019993e-05
PTH,0.0,0.0,0.0,0.0,0.0
ABHD10,0.34900037721614485,0.19456808751414562,0.008600528102602792,0.008600528102602792,0.0
ABHD11,0.34545454545454546,0.15941154281403244,0.00965673330818559,0.00958129007921539,7.544322897019993e-05
NGRN,0.35088645794039985,0.21855903432666918,0.01923802338740098,0.01923802338740098,0.0
PTS,0.3085628064881177,0.056356092040739346,0.0006789890607317993,0.0006789890607317993,0.0
ARPC3,0.3450773293096945,0.17563183704262542,0.010562052055827989,0.010562052055827989,0.0
ARPC2,0.34530365899660503,0.16944549226706904,0.007317993210109393,0.007317993210109393,0.0
ARPC5,0.34175782723500564,0.14522821576763487,0.01026027913994719,0.01026027913994719,0.0
