gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
DAP,0.29980699120737725,0.29723354063907353,0.008363714346986918,0.008363714346986918,0.0
TP53BP2,0.29980699120737725,0.298949174351276,0.01072271070126528,0.010651225963256844,7.14847380084352e-05
OXR1,0.29980699120737725,0.29923511330330976,0.010651225963256844,0.010651225963256844,0.0
ACBD5,0.29980699120737725,0.2960897848309386,0.008649653299020659,0.008578168561012223,7.14847380084352e-05
AKT1S1,0.29980699120737725,0.29816284223318323,0.011509042819358066,0.011509042819358066,0.0
ATG13,0.29980699120737725,0.2979483880191579,0.010794195439273716,0.01072271070126528,7.14847380084352e-05
TTC23L,0.29980699120737725,0.15669454571448996,0.0004289084280506112,0.0004289084280506112,0.0
WDR41,0.29980699120737725,0.2918007005504325,0.004860962184573593,0.004860962184573593,0.0
SYTL5,0.29980699120737725,0.2976624490671242,0.007076989062835085,0.007076989062835085,0.0
ARID4A,0.29980699120737725,0.2995210522553435,0.019372364000285937,0.019372364000285937,0.0
SKIL,0.29980699120737725,0.29830581170920006,0.010293802273214669,0.010293802273214669,0.0
SOX4,0.29980699120737725,0.2995210522553435,0.020230180856387163,0.020230180856387163,0.0
PCM1,0.29980699120737725,0.2991636285653013,0.012152405461433985,0.012152405461433985,0.0
MAP1LC3C,0.29980699120737725,0.29887768961326755,0.011008649653299021,0.011008649653299021,0.0
MTMR4,0.29980699120737725,0.2968761169490314,0.0060047179927085565,0.005933233254700122,7.14847380084352e-05
MEIG1,0.29980699120737725,0.2855100436056902,0.0038601758524555007,0.0038601758524555007,0.0
SMNDC1,0.29980699120737725,0.29944956751733504,0.020015726642361856,0.01994424190435342,7.14847380084352e-05
ATG10,0.29980699120737725,0.29680463221102293,0.007791836442919436,0.007791836442919436,0.0
MTMR6,0.29980699120737725,0.2964472085209808,0.009293015941096576,0.00922153120308814,7.14847380084352e-05
NRBF2,0.29980699120737725,0.28336550146543715,0.004503538494531417,0.004432053756522982,7.14847380084352e-05
FAM179B,0.29980699120737725,0.2985202659232254,0.009721924369147187,0.009721924369147187,0.0
MTMR3,0.29980699120737725,0.29723354063907353,0.007577382228894131,0.007505897490885696,7.14847380084352e-05
UBN2,0.29980699120737725,0.29566087640288796,0.0051469011366073346,0.0051469011366073346,0.0
PCMTD1,0.29980699120737725,0.2983772964472085,0.007863321180927871,0.007863321180927871,0.0
KIAA1429,0.29980699120737725,0.29330188004860963,0.005718779040674816,0.005718779040674816,0.0
LARP4B,0.29980699120737725,0.29759096432911575,0.008792622775037529,0.008721138037029095,7.14847380084352e-05
