gene_hsapiens_wound_up,hsapiens_wound_up_Fraction_sp_less7,hsapiens_wound_up_Fraction_sp_less6,hsapiens_wound_up_Fraction_sp_less5,hsapiens_wound_up_Fraction_sp_less4,hsapiens_wound_up_Fraction_sp_less3,hsapiens_wound_up_Fraction_sp_less2,hsapiens_wound_up_Fraction_sp_1,hsapiens_wound_up_Fraction_sp_0
ATP5H,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11661723214931635,0.005136366924690733,0.005136366924690733,0.0
ME1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12783042754828908,0.09802503074585835,0.0017362367069377125,0.0016638935108153079,7.234319612240469e-05
ME3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.11133617883238081,0.0046299645518339,0.0046299645518339,0.0
ME2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11683426173768358,0.0034001302177530204,0.0034001302177530204,0.0
ATP5B,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.1187875280329885,0.006510887651016422,0.006510887651016422,0.0
ATP5E,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.11328944512768574,0.002749041452651378,0.002749041452651378,0.0
ATP5D,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.12052376473992621,0.00803009476958692,0.00803009476958692,0.0
MPZL3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12544310207624973,0.01946031975692686,0.01946031975692686,0.0
TBK1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12725168197930983,0.0879693264848441,0.00043405917673442813,0.00043405917673442813,0.0
MPZL1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.11661723214931635,0.011791940967951964,0.011791940967951964,0.0
CYP7B1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.10525935035809882,0.003255443825508211,0.003255443825508211,0.0
MET,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12783042754828908,0.11314475873544093,0.003038414237140997,0.003038414237140997,0.0
CLPX,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12783042754828908,0.11538739781523548,0.0031831006293858064,0.0031831006293858064,0.0
LALBA,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12754105476379946,0.022715763582435072,0.00021702958836721407,0.00021702958836721407,0.0
CLPP,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12790277074441148,0.11943861679809013,0.008102437965709326,0.008102437965709326,0.0
CLPS,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.07567098314403531,0.0018809230991825218,0.00021702958836721407,0.00021702958836721407,0.0
CLPB,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.11943861679809013,0.008102437965709326,0.008102437965709326,0.0
FEZF1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.10475294798524198,0.002097952687549736,0.002097952687549736,0.0
FEZF2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12725168197930983,0.06496419011791942,0.0003617159806120234,0.0003617159806120234,0.0
SLC9A3R2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12783042754828908,0.08724589452362005,0.001157491137958475,0.001157491137958475,0.0
SLC9A3R1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1250813860956377,0.019822035737538886,0.01974969254141648,7.234319612240469e-05
SLC40A1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.10764667583013818,0.0019532662953049267,0.0019532662953049267,0.0
CLP1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.1156767705997251,0.0031831006293858064,0.0031831006293858064,0.0
DTWD2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12761339795992188,0.11133617883238081,0.003978875786732258,0.003978875786732258,0.0
DTWD1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.12269406062359835,0.012732402517543226,0.012732402517543226,0.0
CPE,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1219706286623743,0.011502568183462345,0.01143022498733994,7.234319612240469e-05
CASS4,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12768574115604428,0.11321710193156334,0.02177530203284381,0.02177530203284381,0.0
CYP46A1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12283874701584316,0.019026260580192432,0.019026260580192432,0.0
BANK1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11632785936482674,0.020690154091007742,0.020690154091007742,0.0
DOC2A,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.12095782391666064,0.007089633219995659,0.007089633219995659,0.0
DOC2B,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12725168197930983,0.08623308977790639,0.0016638935108153079,0.0016638935108153079,0.0
LMTK3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12254937423135354,0.010417420241626275,0.010417420241626275,0.0
LMTK2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.11980033277870217,0.008391810750198944,0.008391810750198944,0.0
RBM4B,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12327280619257759,0.0138898936555017,0.0138898936555017,0.0
HHIP,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12768574115604428,0.07530926716342327,0.0006510887651016422,0.0006510887651016422,0.0
PSAP,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11647254575707154,0.007089633219995659,0.007089633219995659,0.0
KRT17,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.10873182377197424,0.007957751573464516,0.00788540837734211,7.234319612240469e-05
KRT16,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12775808435216668,0.07371771684873038,0.001157491137958475,0.0010851479418360704,7.234319612240469e-05
KRT15,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.09947189466830644,0.006727917239383636,0.0066555740432612314,7.234319612240469e-05
KRT14,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12580481805686175,0.021051870071619763,7.234319612240469e-05,7.234319612240469e-05,0.0
KRT13,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.10902119655646386,0.005281053316935542,0.0013021775302032843,0.0012298343340808797,7.234319612240469e-05
KRT12,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.07444114880995442,0.0010128047457136657,0.0010128047457136657,0.0
KRT10,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12746871156767706,0.04615495912609419,7.234319612240469e-05,7.234319612240469e-05,0.0
GABRE,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.11965564638645736,0.011068509006727918,0.011068509006727918,0.0
GABRD,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12754105476379946,0.07596035592852492,0.0010128047457136657,0.0010128047457136657,0.0
KRT19,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12117485350502785,0.01251537292917601,0.012443029733053607,7.234319612240469e-05
KRT18,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12247703103523114,0.010996165810605512,0.010923822614483108,7.234319612240469e-05
SLC26A6,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.09086305432974029,0.0009404615495912609,0.0009404615495912609,0.0
PAG1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.11531505461911307,0.015047384793460175,0.015047384793460175,0.0
NBPF3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11169789481299283,0.004123562178977067,0.004123562178977067,0.0
NBPF1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12783042754828908,0.1158214569919699,0.005570426101425161,0.005570426101425161,0.0
PKLR,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1279751139405339,0.09621645084279823,0.0010128047457136657,0.0010128047457136657,0.0
TM9SF4,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11184258120523764,0.0019532662953049267,0.0019532662953049267,0.0
TM9SF2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11495333863850105,0.0029660710410185924,0.0029660710410185924,0.0
SPATS2L,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.12117485350502785,0.008102437965709326,7.234319612240469e-05,7.234319612240469e-05,0.0
MEPCE,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12674527960645302,0.0633002966071041,7.234319612240469e-05,7.234319612240469e-05,0.0
KCNC4,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.10887651016421905,0.003472473413875425,0.0034001302177530204,7.234319612240469e-05
KCNC1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1280474571366563,0.0863777761701512,0.0008681183534688563,0.0008681183534688563,0.0
KCNC2,0.12826448672502352,0.12826448672502352,0.12768574115604428,0.11596614338421471,0.004991680532445923,0.0,0.0,0.0
KCNC3,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12131953989727266,0.006800260435506041,0.006800260435506041,0.0
NGFR,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12732402517543226,0.06510887651016421,0.001157491137958475,0.001157491137958475,0.0
ACAA2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11466396585401142,0.0031107574332634017,0.0031107574332634017,0.0
ACAA1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12211531505461912,0.013021775302032844,0.013021775302032844,0.0
OR3A1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12775808435216668,0.03609925486507994,0.00021702958836721407,0.00021702958836721407,0.0
ARIH2,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12775808435216668,0.11242132677421689,0.00231498227591695,0.00231498227591695,0.0
ARIH1,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281921435289011,0.11958330319033494,0.004846994140201114,0.004846994140201114,0.0
SUFU,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.1281198003327787,0.1140852202850322,0.0033277870216306157,0.0033277870216306157,0.0
PLA2G4C,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.11379584750054257,0.004051218982854663,0.004051218982854663,0.0
PLA2G4B,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12826448672502352,0.12117485350502785,0.008391810750198944,0.008391810750198944,0.0
