gene_dmelanogaster_stress_up,dmelanogaster_stress_up_Fraction_sp_less7,dmelanogaster_stress_up_Fraction_sp_less6,dmelanogaster_stress_up_Fraction_sp_less5,dmelanogaster_stress_up_Fraction_sp_less4,dmelanogaster_stress_up_Fraction_sp_less3,dmelanogaster_stress_up_Fraction_sp_less2,dmelanogaster_stress_up_Fraction_sp_1,dmelanogaster_stress_up_Fraction_sp_0
PSMA4,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3012370686536931,0.2606525356290241,0.0170006510887651,0.016928307892642696,7.234319612240469e-05
PSMA5,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2874195181943138,0.03320552702018375,0.03313318382406135,7.234319612240469e-05
PSMA8,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.21825942270129495,0.0064385444548940175,0.006366201258771613,7.234319612240469e-05
SYNRG,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2859003110757433,0.028141503291615425,0.028141503291615425,0.0
MGLL,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3011647254575707,0.25189900889821315,0.004485278159589091,0.004485278159589091,0.0
AGPAT6,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3010923822614483,0.19706286623743036,0.0023873254720393547,0.0023873254720393547,0.0
AGPAT5,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3013094118498155,0.26658467771106126,0.007740721985097301,0.007740721985097301,0.0
AGPAT4,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2914707371771685,0.0354481660999783,0.0354481660999783,0.0
AGPAT3,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.28676842942921216,0.02683932576141214,0.02683932576141214,0.0
AGPAT2,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.28452579034941766,0.02097952687549736,0.02097952687549736,0.0
AGPAT1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30167112783042754,0.2731679085582001,0.011647254575707155,0.011647254575707155,0.0
AGPAT9,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3008030094769587,0.12594950444910658,0.0010128047457136657,0.0010128047457136657,0.0
FOXO3,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.3015987846343051,0.2796064530130941,0.012587716125298416,0.012587716125298416,0.0
FOXO1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.2853215655067641,0.021413586052231787,0.021413586052231787,0.0
FOXO4,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3015987846343051,0.25710771901902624,0.008247124357954135,0.008247124357954135,0.0
TMEM159,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.30167112783042754,0.2830789264269695,0.014685668812848152,0.014685668812848152,0.0
OSTF1,0.30181581422267234,0.30181581422267234,0.30181581422267234,0.30152644143818275,0.28915575490125156,0.028937278448961875,0.02886493525283947,7.234319612240469e-05
HTR4,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3005859798885915,0.13397959921869348,0.0012298343340808797,0.0012298343340808797,0.0
METTL2B,0.30181581422267234,0.30181581422267234,0.30174347102654997,0.3010923822614483,0.21572741083701077,0.00788540837734211,0.00788540837734211,0.0
