gene_amexicanum_regen_up,amexicanum_regen_up_Fraction_sp_less4,amexicanum_regen_up_Fraction_sp_less3,amexicanum_regen_up_Fraction_sp_less2,amexicanum_regen_up_Fraction_sp_1,amexicanum_regen_up_Fraction_sp_0
TMEM19,0.075927015891701,0.0036492054149499706,0.0,0.0,0.0
BSDC1,0.09941141848145968,0.012065921130076516,5.885815185403178e-05,5.885815185403178e-05,0.0
PDLIM7,0.10824014125956445,0.019246615656268392,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
RANBP3,0.10341377280753385,0.012183637433784578,0.00011771630370806356,0.00011771630370806356,0.0
RFXANK,0.10506180105944674,0.013949381989405533,0.00023543260741612713,0.00023543260741612713,0.0
SLC16A3,0.11636256621542083,0.030606238964096526,0.00017657445556209535,0.00017657445556209535,0.0
SLC16A4,0.031842260153031196,0.0004120070629782225,0.0,0.0,0.0
BSN,0.049617422012948796,0.002766333137139494,0.0,0.0,0.0
CAST1,0.04049440847557387,0.0010005885815185403,5.885815185403178e-05,5.885815185403178e-05,0.0
ERC2,0.04108298999411419,0.0010005885815185403,5.885815185403178e-05,5.885815185403178e-05,0.0
RAB3A,0.11177163037080635,0.022895821071218365,0.0007651559741024132,0.0007651559741024132,0.0
RIMS1,0.08675691583284285,0.005179517363154797,0.00017657445556209535,0.00017657445556209535,0.0
UNC13A,0.044908769864626254,0.0020600353148911123,0.0,0.0,0.0
BSND,0.044908769864626254,0.002236609770453208,0.0,0.0,0.0
CLCN5,0.06274278987639788,0.0018246027074749853,0.0,0.0,0.0
CLCNKB,0.002236609770453208,0.0,0.0,0.0,0.0
BSPRY,0.07504414361389053,0.004649793996468511,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
BST1,0.09699823425544438,0.007239552678045909,0.000529723366686286,0.000529723366686286,0.0
GSR,0.09764567392583873,0.011771630370806356,0.0007062978222483814,0.0006474396703943496,5.885815185403178e-05
NADK,0.10723955267804591,0.0227781047675103,0.0002942907592701589,0.0002942907592701589,0.0
NADSYN1,0.07392583872866391,0.003001765744555621,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
NAMPT,0.10294290759270158,0.014243672748675692,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
NMNAT1,0.09381989405532666,0.008357857563272513,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
NMNAT2,0.08016480282519128,0.004708652148322542,0.00023543260741612713,0.00023543260741612713,0.0
NMNAT3,0.07216009417304296,0.0028840494408475573,0.00023543260741612713,0.00023543260741612713,0.0
NNT,0.10977045320776928,0.02213066509711595,0.000529723366686286,0.000529723366686286,0.0
RYR3,0.05261918775750441,0.0012360211889346675,0.0,0.0,0.0
BST2,0.10912301353737493,0.024720423778693348,5.885815185403178e-05,5.885815185403178e-05,0.0
BSX,0.040906415538552086,0.001883460859329017,0.0,0.0,0.0
BTAF1,0.08010594467333726,0.004590935844614479,5.885815185403178e-05,0.0,5.885815185403178e-05
DHODH,0.04585050029429076,0.0009417304296645085,5.885815185403178e-05,5.885815185403178e-05,0.0
MVD,0.11118304885226604,0.02319011183048852,0.0004120070629782225,0.0004120070629782225,0.0
TAF2,0.10470865214832255,0.013596233078281342,5.885815185403178e-05,5.885815185403178e-05,0.0
TOP1,0.11942319011183049,0.04802825191288994,0.0009417304296645085,0.0008828722778104767,5.885815185403178e-05
TRIM5,0.11082989994114185,0.02442613301942319,0.0002942907592701589,0.0002942907592701589,0.0
DLG5,0.10865214832254268,0.02319011183048852,0.0003531489111241907,0.0003531489111241907,0.0
BTBD12,0.11153619776339023,0.023013537374926427,0.00017657445556209535,0.00017657445556209535,0.0
C20ORF11,0.09075927015891701,0.009476162448499118,5.885815185403178e-05,5.885815185403178e-05,0.0
C20ORF94,0.10929958799293703,0.02171865803413773,0.00011771630370806356,0.00011771630370806356,0.0
DCAF10,0.08622719246615657,0.00529723366686286,0.0,0.0,0.0
EME1,0.09105356091818717,0.010359034726309594,0.0,0.0,0.0
ERCC1,0.111124190700412,0.020011771630370805,0.0002942907592701589,0.0002942907592701589,0.0
ERCC4,0.11336080047086522,0.030900529723366685,0.0003531489111241907,0.0003531489111241907,0.0
GLTSCR2,0.09682165979988229,0.010829899941141849,0.0,0.0,0.0
LRRC1,0.08051795173631549,0.0064155385520894646,0.0,0.0,0.0
NUP188,0.10570924072984109,0.015126545026486169,0.000529723366686286,0.00047086521483225425,5.885815185403178e-05
TEX10,0.09605650382577988,0.00594467333725721,5.885815185403178e-05,5.885815185403178e-05,0.0
TSPYL1,0.04873454973513831,0.0022954679223072395,0.0,0.0,0.0
BTBD15,0.07398469688051795,0.0033549146556798117,5.885815185403178e-05,5.885815185403178e-05,0.0
BTBD17,0.08693349028840494,0.011712772218952325,0.0,0.0,0.0
BTBD19,0.0975868157739847,0.011477339611536198,5.885815185403178e-05,5.885815185403178e-05,0.0
C7ORF64,0.11088875809299588,0.021954090641553854,0.000824014125956445,0.000824014125956445,0.0
DKFZP564O0523,0.10506180105944674,0.012713360800470865,0.0007651559741024132,0.0007651559741024132,0.0
BTBD8,0.012065921130076516,0.00023543260741612713,0.0,0.0,0.0
WIPI2,0.10088287227781048,0.012065921130076516,0.00023543260741612713,0.00023543260741612713,0.0
BTBD9,0.05738669805768099,0.00164802825191289,0.0,0.0,0.0
BTC,0.08599175985874044,0.00659211300765156,5.885815185403178e-05,5.885815185403178e-05,0.0
ERBB4,0.11600941730429665,0.03325485579752796,0.0005885815185403178,0.0005885815185403178,0.0
BTF3,0.1053560918187169,0.01483225426721601,0.0,0.0,0.0
BTG1,0.11212477928193054,0.024543849323131254,0.00023543260741612713,0.00017657445556209535,5.885815185403178e-05
CNOT7,0.10470865214832255,0.015303119482048263,0.0002942907592701589,0.0002942907592701589,0.0
CNOT8,0.10217775161859917,0.011065332548557976,0.0002942907592701589,0.0002942907592701589,0.0
HOXB9,0.11006474396703944,0.01983519717480871,0.0002942907592701589,0.0002942907592701589,0.0
BTG2,0.11459682165979988,0.033549146556798116,0.00011771630370806356,0.00011771630370806356,0.0
CNOT1,0.11506768687463213,0.03207769276044732,0.0003531489111241907,0.0003531489111241907,0.0
CNOT6L,0.06374337845791642,0.0010005885815185403,0.0,0.0,0.0
HMGN1,0.112948793407887,0.024896998234255445,0.0002942907592701589,0.0002942907592701589,0.0
BTG4,0.10423778693349028,0.0188934667451442,0.00011771630370806356,0.00011771630370806356,0.0
RNF19B,0.10700412007062979,0.01977633902295468,0.00017657445556209535,0.00011771630370806356,5.885815185403178e-05
CMTM3,0.09970570924072984,0.008357857563272513,5.885815185403178e-05,5.885815185403178e-05,0.0
CROP,0.09323131253678635,0.008946439081812831,0.0,0.0,0.0
EEF1A2,0.11094761624484992,0.018010594467333725,0.00017657445556209535,0.00017657445556209535,0.0
HDGFL1,0.05956444967628016,0.0027074749852854622,0.0,0.0,0.0
IBTK,0.07863449087698646,0.00494408475573867,0.00011771630370806356,5.885815185403178e-05,5.885815185403178e-05
IGHMBP2,0.07728075338434373,0.005826957033549147,0.0,0.0,0.0
KCMF1,0.06945261918775751,0.00329605650382578,5.885815185403178e-05,5.885815185403178e-05,0.0
MAN2B1,0.06774573278399058,0.004061212477928193,0.0,0.0,0.0
PIK3AP1,0.09505591524426132,0.011065332548557976,0.00011771630370806356,0.00011771630370806356,0.0
PIP4K2B,0.1155385520894644,0.025309005297233667,0.0006474396703943496,0.0006474396703943496,0.0
PPP3CB,0.11153619776339023,0.02442613301942319,0.0003531489111241907,0.0003531489111241907,0.0
SH2B2,0.1062978222483814,0.01783402001177163,0.00023543260741612713,0.00023543260741612713,0.0
SIGIRR,0.08969982342554443,0.006886403766921719,0.0,0.0,0.0
TREM2,0.08499117127722189,0.0077104178928781636,0.0,0.0,0.0
TUBA1A,0.11830488522660389,0.043790464979399646,0.0007651559741024132,0.0007062978222483814,5.885815185403178e-05
ZW10,0.11595055915244261,0.034078869923484405,0.0012360211889346675,0.0012360211889346675,0.0
BTLA,0.07274867569158329,0.0020011771630370806,0.0,0.0,0.0
VTCN1,0.0020011771630370806,0.0,0.0,0.0,0.0
BTN1A1,0.0633313713949382,0.004826368452030606,0.00011771630370806356,0.00011771630370806356,0.0
XDH,0.07310182460270748,0.004061212477928193,0.0002942907592701589,0.00023543260741612713,5.885815185403178e-05
BTN2A1,0.02513243084167157,0.0011771630370806356,0.0,0.0,0.0
BTN2A2,0.02513243084167157,0.0011771630370806356,0.0,0.0,0.0
BTN2A3,0.06127133608004709,0.003943496174220129,0.0,0.0,0.0
BTN3A1,0.02513243084167157,0.0011771630370806356,0.0,0.0,0.0
BTN3A2,0.02513243084167157,0.0011771630370806356,0.0,0.0,0.0
BTN3A3,0.048969982342554445,0.001942319011183049,0.0,0.0,0.0
BTNL2,0.08693349028840494,0.011712772218952325,5.885815185403178e-05,0.0,5.885815185403178e-05
C13ORF34,0.08793407886992348,0.010476751030017658,0.00011771630370806356,0.00011771630370806356,0.0
CCNF,0.09358446144791054,0.007298410829899941,5.885815185403178e-05,5.885815185403178e-05,0.0
CLPX,0.07845791642142437,0.004061212477928193,0.0,0.0,0.0
COPS4,0.11542083578575632,0.037492642731018246,5.885815185403178e-05,5.885815185403178e-05,0.0
CRY2,0.11106533254855798,0.027251324308416716,0.00011771630370806356,0.00011771630370806356,0.0
