gene_dmelanogaster_stress_down,dmelanogaster_stress_down_Fraction_sp_less4,dmelanogaster_stress_down_Fraction_sp_less3,dmelanogaster_stress_down_Fraction_sp_less2,dmelanogaster_stress_down_Fraction_sp_1,dmelanogaster_stress_down_Fraction_sp_0
RAB21,0.11042183622828784,0.10990488006617039,0.005272952853598015,0.005272952853598015,0.0
NFKBIA,0.11042183622828784,0.11031844499586435,0.014009511993382961,0.013957816377171216,5.1695616211745244e-05
UCMA,0.11042183622828784,0.09579197684036393,0.0005169561621174524,0.0005169561621174524,0.0
ALDH5A1,0.11042183622828784,0.10995657568238214,0.006823821339950372,0.006823821339950372,0.0
WDFY3,0.11042183622828784,0.11026674937965261,0.00966708023159636,0.009615384615384616,5.1695616211745244e-05
AGAP3,0.11042183622828784,0.1098014888337469,0.0034636062861869315,0.0034636062861869315,0.0
SCYL1,0.11042183622828784,0.10861248966087676,0.0022229114971050457,0.0022229114971050457,0.0
PKN3,0.11042183622828784,0.11016335814722912,0.004859387923904053,0.004807692307692308,5.1695616211745244e-05
DAPK3,0.11042183622828784,0.11005996691480563,0.006048387096774193,0.006048387096774193,0.0
PKP3,0.11042183622828784,0.10995657568238214,0.0034636062861869315,0.0034636062861869315,0.0
SEC22C,0.11042183622828784,0.10964640198511166,0.002274607113316791,0.002274607113316791,0.0
MAP1LC3A,0.11042183622828784,0.11026674937965261,0.007754342431761787,0.007754342431761787,0.0
AP2M1,0.11042183622828784,0.11021505376344086,0.007702646815550041,0.007702646815550041,0.0
KANK4,0.11042183622828784,0.11011166253101737,0.004755996691480562,0.004704301075268817,5.1695616211745244e-05
DAPK2,0.11042183622828784,0.10974979321753515,0.003773779983457403,0.003773779983457403,0.0
CIT,0.11042183622828784,0.11026674937965261,0.010287427626137303,0.010287427626137303,0.0
DUSP28,0.11042183622828784,0.10990488006617039,0.0030500413564929696,0.0030500413564929696,0.0
PRKCH,0.11042183622828784,0.11031844499586435,0.007133995037220843,0.0070822994210090985,5.1695616211745244e-05
HIPK4,0.11042183622828784,0.11016335814722912,0.005841604631927212,0.005789909015715467,5.1695616211745244e-05
