gene_hsapiens_stress_down,hsapiens_stress_down_Fraction_sp_less7,hsapiens_stress_down_Fraction_sp_less6,hsapiens_stress_down_Fraction_sp_less5,hsapiens_stress_down_Fraction_sp_less4,hsapiens_stress_down_Fraction_sp_less3,hsapiens_stress_down_Fraction_sp_less2,hsapiens_stress_down_Fraction_sp_1,hsapiens_stress_down_Fraction_sp_0
RANBP2,0.3147434353167911,0.23006504456757407,0.08660563719585641,0.00963623223319682,0.000481811611659841,0.0,0.0,0.0
TMEM9,0.34027945073476273,0.31739339918092024,0.23428089616959769,0.09588051072030836,0.031317754757889664,0.002409058058299205,0.002409058058299205,0.0
TMEM2,0.3254637436762226,0.2643941218983378,0.12346422548783426,0.04649482052517466,0.01457480125271019,0.0002409058058299205,0.0002409058058299205,0.0
TSPO,0.3432907733076367,0.32317513852083835,0.2478920741989882,0.09684413394362804,0.012165743194410985,0.0012045290291496024,0.0010840761262346423,0.00012045290291496025
ARNT,0.33377499397735483,0.30305950373404,0.1812816188870152,0.0645627559624187,0.006384003854492893,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SLAMF7,0.3429294145988918,0.32775234883160687,0.2658395567333173,0.14201397253673814,0.05348108889424235,0.011081667068176343,0.010961214165261383,0.00012045290291496025
SLAMF6,0.3429294145988918,0.3260660081907974,0.25427607805348107,0.12165743194410986,0.04781980245723922,0.014815707058540111,0.014815707058540111,0.0
SLAMF1,0.34136352686099736,0.31956155143338955,0.2299445916646591,0.09961455071067213,0.03890628764153216,0.0093953264273669,0.00927487352445194,0.00012045290291496025
UIMC1,0.3246205733558179,0.27342808961695975,0.1355095157793303,0.01963382317513852,0.0013249819320645627,0.0,0.0,0.0
HDGFRP2,0.31920019272464467,0.24126716453866537,0.10864851842929414,0.020958805107203084,0.0006022645145748012,0.00012045290291496025,0.00012045290291496025,0.0
HDGFRP3,0.34437484943387137,0.33220910623946037,0.2934232715008432,0.18597928210069864,0.06733317272946278,0.008311250301132257,0.008311250301132257,0.0
SSNA1,0.3340158997831848,0.29956636954950616,0.1785112021199711,0.05468561792339195,0.003372681281618887,0.00012045290291496025,0.00012045290291496025,0.0
BMS1,0.31956155143338955,0.24379667549987954,0.07540351722476511,0.00963623223319682,0.001927246446639364,0.00012045290291496025,0.00012045290291496025,0.0
PODXL,0.30595037340399905,0.21344254396530957,0.1009395326427367,0.0287882437966755,0.00505902192242833,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
CCNT1,0.33016140688990603,0.28330522765598654,0.154541074439894,0.029872319922910142,0.003372681281618887,0.00036135870874488076,0.00036135870874488076,0.0
CCNT2,0.33642495784148396,0.3106480366176825,0.21259937364490483,0.0799807275355336,0.017224765116839316,0.0007227174174897615,0.0007227174174897615,0.0
CREBZF,0.33618405203565405,0.30739580823897855,0.20139725367381353,0.0799807275355336,0.016020236087689713,0.0010840761262346423,0.0010840761262346423,0.0
MC1R,0.32739099012286194,0.27174174897615033,0.13045049385690194,0.040351722476511684,0.0042158516020236085,0.00036135870874488076,0.00036135870874488076,0.0
RUNX2,0.3312454830161407,0.28258251023849673,0.16164779571187665,0.051915201156347866,0.00469766321368345,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
RUNX3,0.3432907733076367,0.327270537219947,0.254396530956396,0.12310286677908938,0.049747048903878585,0.011081667068176343,0.010961214165261383,0.00012045290291496025
APOBEC1,0.13743676222596965,0.04649482052517466,0.013731630932305469,0.003372681281618887,0.00036135870874488076,0.00012045290291496025,0.00012045290291496025,0.0
RUNX1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APOBEC4,0.19597687304264033,0.07913755721512888,0.022042881233437724,0.007829438689472416,0.004336304504938569,0.0020476993495543243,0.0020476993495543243,0.0
SLC9A4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SLC9A5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SLC9A6,0.29354372440375814,0.17995663695495062,0.030956396049144786,0.002890869669959046,0.00036135870874488076,0.00012045290291496025,0.0,0.00012045290291496025
SLC9A7,0.33112503011322575,0.2867983618405204,0.16586364731390027,0.059262828234160445,0.010961214165261383,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SLC9A1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SLC9A2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
SLC9A3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PLCB1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PLCB2,0.34003854492893276,0.31799566369549503,0.23789448325704649,0.0963623223319682,0.04083353408817152,0.015658877378944832,0.015538424476029872,0.00012045290291496025
PLCB3,0.19947000722717417,0.04613346181642978,0.0031317754757889667,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025,0.0,0.00012045290291496025
PLCB4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ESR2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
ESR1,0.327150084317032,0.27583714767525896,0.14996386412912552,0.05396290050590219,0.0055408335340881715,0.00012045290291496025,0.00012045290291496025,0.0
MSMO1,0.3365454107443989,0.2960732353649723,0.18007708985786558,0.049747048903878585,0.007949891592387376,0.0013249819320645627,0.0012045290291496024,0.00012045290291496025
EARS2,0.33558178752107926,0.312213924355577,0.20958805107203082,0.07407853529270056,0.013008913514815708,0.00036135870874488076,0.00036135870874488076,0.0
TBX2,0.3360635991327391,0.31016622500602264,0.2233196820043363,0.10780534810888942,0.029992772825825104,0.001927246446639364,0.0018067935437244037,0.00012045290291496025
TBX3,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
TBX6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TBX5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.3360635991327391,0.30570946759816914,0.2157311491206938,0.09551915201156348,0.026740544447121175,0.001927246446639364,0.001927246446639364,0.0
LIG4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMEM38B,0.3202842688508793,0.23897855938328114,0.08853288364249579,0.008311250301132257,0.000481811611659841,0.0,0.0,0.0
C18orf25,0.32510238496747773,0.26234642254878343,0.1045531197301855,0.012045290291496025,0.001445434834979523,0.00036135870874488076,0.0002409058058299205,0.00012045290291496025
BDP1,0.3370272223560588,0.312213924355577,0.20790171043122138,0.09419417007949892,0.01409298964105035,0.0002409058058299205,0.0002409058058299205,0.0
PRRT3,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
PRRT2,0.34473620814261624,0.3346181642977596,0.3020958805107203,0.19754276078053482,0.07540351722476511,0.012045290291496025,0.011924837388581066,0.00012045290291496025
C14orf2,0.34003854492893276,0.321127439171284,0.2409058058299205,0.08142616237051313,0.010358949650686582,0.0012045290291496024,0.0012045290291496024,0.0
C14orf1,0.33112503011322575,0.2765598650927487,0.13876174415803422,0.03312454830161407,0.004336304504938569,0.000963623223319682,0.000963623223319682,0.0
ERMP1,0.3307636714044809,0.27716212960732356,0.1373163093230547,0.042038063117321126,0.006745362563237774,0.00036135870874488076,0.00036135870874488076,0.0
FAS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAU,0.2904119489279692,0.15538424476029872,0.026740544447121175,0.001445434834979523,0.0007227174174897615,0.000481811611659841,0.000481811611659841,0.0
FAH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HNRNPA2B1,0.29101421344254397,0.17766803179956636,0.048903878583473864,0.005661286437003131,0.0002409058058299205,0.0,0.0,0.0
AMY2A,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.0
CCS,0.33365454107443987,0.2948687063358227,0.1860997350036136,0.047217537942664416,0.006143098048662973,0.000481811611659841,0.000481811611659841,0.0
OAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCK,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
COG8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG3,0.31100939532642735,0.23018549747048903,0.0799807275355336,0.008431703204047217,0.000963623223319682,0.0002409058058299205,0.0002409058058299205,0.0
COG2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
COG1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COG7,0.3399180920260178,0.3190797398217297,0.23656950132498195,0.1093712358467839,0.03143820766080462,0.0015658877378944833,0.0015658877378944833,0.0
COG6,0.3293182365695013,0.2735485425198747,0.14466393640086725,0.04480847988436521,0.0055408335340881715,0.0,0.0,0.0
