gene_celegans_stress_down,celegans_stress_down_Fraction_sp_less4,celegans_stress_down_Fraction_sp_less3,celegans_stress_down_Fraction_sp_less2,celegans_stress_down_Fraction_sp_1,celegans_stress_down_Fraction_sp_0
PVRIG,0.25082712985938793,0.22125723738626965,0.0009305210918114144,0.0009305210918114144,0.0
C20orf85,0.25082712985938793,0.22503101736972705,0.0009822167080231596,0.0009822167080231596,0.0
CD300LD,0.25082712985938793,0.1590674110835401,0.0005169561621174524,0.0005169561621174524,0.0
PPP1R35,0.25082712985938793,0.2297870140612076,0.0016542597187758478,0.0016542597187758478,0.0
OR10J3,0.25082712985938793,0.2233767576509512,0.0015508684863523574,0.0015508684863523574,0.0
CD200R1L,0.25082712985938793,0.18853391232423491,0.0007237386269644334,0.0007237386269644334,0.0
PKD1P1,0.25082712985938793,0.13776881720430106,0.0006720430107526882,0.0006720430107526882,0.0
C1orf43,0.25082712985938793,0.22808105872622,0.0018093465674110835,0.0018093465674110835,0.0
SCP2D1,0.25082712985938793,0.22870140612076095,0.0030500413564929696,0.0030500413564929696,0.0
DCDC2B,0.25082712985938793,0.21624276261373035,0.0011373035566583955,0.0011373035566583955,0.0
NPIPA2,0.25077543424317617,0.07144334160463192,0.00031017369727047146,0.00031017369727047146,0.0
TEX36,0.25082712985938793,0.18651778329197685,0.0006720430107526882,0.0006720430107526882,0.0
C16orf45,0.25082712985938793,0.24674317617866004,0.0031534325889164597,0.0031534325889164597,0.0
DAGLB,0.25082712985938793,0.24777708850289495,0.0063068651778329194,0.006255169561621175,5.1695616211745244e-05
MOGAT3,0.25082712985938793,0.24436517783291978,0.004859387923904053,0.004807692307692308,5.1695616211745244e-05
OR51Q1,0.25082712985938793,0.20807485525227462,0.0009822167080231596,0.0009822167080231596,0.0
SERTAD2,0.25082712985938793,0.24441687344913152,0.003360215053763441,0.003360215053763441,0.0
MBOAT2,0.25082712985938793,0.24989660876757652,0.010080645161290322,0.010080645161290322,0.0
LIPG,0.25082712985938793,0.2490694789081886,0.0092535153019024,0.0092535153019024,0.0
LDLRAD4,0.25082712985938793,0.24503722084367247,0.0032568238213399503,0.0032568238213399503,0.0
TMEM207,0.25082712985938793,0.21112489660876757,0.0016542597187758478,0.0016542597187758478,0.0
TMEM78,0.25077543424317617,0.06022539288668321,0.00010339123242349049,0.00010339123242349049,0.0
OR10AG1,0.25082712985938793,0.13223738626964435,0.0008788254755996692,0.0008788254755996692,0.0
TMEM174,0.25082712985938793,0.22446236559139784,0.0020161290322580645,0.0020161290322580645,0.0
