gene_sscrofa_wound_up,sscrofa_wound_up_Fraction_sp_less7,sscrofa_wound_up_Fraction_sp_less6,sscrofa_wound_up_Fraction_sp_less5,sscrofa_wound_up_Fraction_sp_less4,sscrofa_wound_up_Fraction_sp_less3,sscrofa_wound_up_Fraction_sp_less2,sscrofa_wound_up_Fraction_sp_1,sscrofa_wound_up_Fraction_sp_0
CNN1,0.37870392676463505,0.3624427848711154,0.29824138761744157,0.14080944350758853,0.04854251987472898,0.006624909660322814,0.006504456757407854,0.00012045290291496025
CNN3,0.3587087448807516,0.2870392676463503,0.13045049385690194,0.04215851602023609,0.005179474825343291,0.00012045290291496025,0.00012045290291496025,0.0
CHAC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XKR9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EIF5B,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
EIF5A,0.3777403035413153,0.3596723681040713,0.287882437966755,0.13237774030354132,0.030956396049144786,0.001927246446639364,0.001927246446639364,0.0
TUBB8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUBB6,0.3778607564442303,0.3600337268128162,0.28306432185015656,0.1163575042158516,0.040713081185256565,0.005299927728258251,0.005299927728258251,0.0
TUBB1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
APTX,0.3524451939291737,0.2602987231992291,0.10467357263310045,0.01987472898096844,0.0016863406408094434,0.00012045290291496025,0.0,0.00012045290291496025
SH3BGRL3,0.37882437966755,0.34943387135629966,0.2403035413153457,0.09226692363285956,0.0187906528547338,0.000963623223319682,0.000963623223319682,0.0
SH3BGRL2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
COPRS,0.3778607564442303,0.3502770416767044,0.25126475548060706,0.10358949650686582,0.011924837388581066,0.000481811611659841,0.000481811611659841,0.0
ODF3B,0.3581064803661768,0.28053481088894244,0.12768007708985787,0.03962900505902192,0.005781739339918092,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
OLFM3,0.33365454107443987,0.19898819561551434,0.06384003854492894,0.01975427607805348,0.005299927728258251,0.0008431703204047217,0.0007227174174897615,0.00012045290291496025
OLFM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLFM1,0.3712358467839075,0.3279932546374368,0.19874728980968442,0.06588773789448325,0.007708985786557456,0.00036135870874488076,0.00036135870874488076,0.0
OLFM4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RAF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DRAM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPL13A,0.3495543242592146,0.27559624186942905,0.11418935196338231,0.01927246446639364,0.007106721271982655,0.00469766321368345,0.00469766321368345,0.0
BCL7C,0.35690195133702723,0.2763189592869188,0.1215369790411949,0.04191761021440617,0.00457721031076849,0.00012045290291496025,0.0,0.00012045290291496025
BCL7B,0.34991568296795955,0.26258732835461335,0.09841002168152252,0.02517465670922669,0.0016863406408094434,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
BCL7A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
EFNA5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFNA4,0.37761985063840037,0.3518429294145989,0.2558419657913756,0.10298723199229101,0.018670199951818837,0.0008431703204047217,0.0008431703204047217,0.0
EFNA3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFNA2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EFNA1,0.3642495784148398,0.29523006504456756,0.1375572151288846,0.03541315345699832,0.00987713803902674,0.000481811611659841,0.00036135870874488076,0.00012045290291496025
CLCC1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UCN2,0.11683931582751145,0.04047217537942664,0.00951577933028186,0.0008431703204047217,0.00012045290291496025,0.0,0.0,0.0
UCN3,0.2759576005781739,0.11418935196338231,0.02493375090339677,0.0021681522524692846,0.00012045290291496025,0.0,0.0,0.0
APEX1,0.2984822934232715,0.1439412189833775,0.037340399903637675,0.01433389544688027,0.004456757407853529,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
APEX2,0.3706335822693327,0.3269091785112021,0.1933269091785112,0.05396290050590219,0.003252228378703927,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
SPOCD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMT2C,0.36930860033726814,0.3316068417248856,0.21019031558660564,0.07070585401108166,0.016381594796434595,0.0015658877378944833,0.0015658877378944833,0.0
ESRRA,0.3808720790171043,0.3694290532401831,0.31510479402553604,0.1751385208383522,0.05661286437003132,0.003854492893278728,0.003854492893278728,0.0
KMT2E,0.3752107925801012,0.3561792339195375,0.28499156829679595,0.1355095157793303,0.031679113466634545,0.0018067935437244037,0.0016863406408094434,0.00012045290291496025
ESRRB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLEC11A,0.3634064080944351,0.2904119489279692,0.13791857383762948,0.04264032763189593,0.003974945796193688,0.00012045290291496025,0.00012045290291496025,0.0
ZNF718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZNF714,0.31920019272464467,0.19404962659600097,0.06227415080703445,0.007949891592387376,0.00036135870874488076,0.0,0.0,0.0
ZNF711,0.37460852806552636,0.3446157552397013,0.23379908455793785,0.0887737894483257,0.014815707058540111,0.0008431703204047217,0.0007227174174897615,0.00012045290291496025
NFAM1,0.3755721512888461,0.3476270778125753,0.2384967477716213,0.09828956877860756,0.03420862442784871,0.008672609009877139,0.008672609009877139,0.0
ASB12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASB13,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
LRPPRC,0.36220187906528545,0.30619127920982897,0.14321850156588775,0.042519874728980965,0.010840761262346423,0.0008431703204047217,0.0007227174174897615,0.00012045290291496025
RPP38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TROVE2,0.3741267164538665,0.35220428812334376,0.26174415803420864,0.10551674295350517,0.01927246446639364,0.000963623223319682,0.000963623223319682,0.0
XCL2,0.37207901710431224,0.333293182365695,0.2066971814020718,0.08046253914719345,0.025536015417971573,0.004095398699108649,0.004095398699108649,0.0
XCL1,0.36954950614309806,0.31679113466634545,0.17947482534329076,0.07034449530233679,0.021440616718862923,0.0026499638641291254,0.0026499638641291254,0.0
NNT,0.3655745603469044,0.3175138520838352,0.18260660081907973,0.04962659600096362,0.012888460611900746,0.0010840761262346423,0.000963623223319682,0.00012045290291496025
FDPS,0.35377017586123827,0.2652372922187425,0.11491206938087208,0.02023608768971332,0.001927246446639364,0.0002409058058299205,0.00012045290291496025,0.00012045290291496025
TFPI2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BATF,0.37846302095880513,0.35654059262828236,0.2630691399662732,0.11406889906046735,0.04083353408817152,0.008431703204047217,0.008431703204047217,0.0
MACF1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
HEXIM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DENND5A,0.3794266441821248,0.3540110816670682,0.27318718381112983,0.11599614550710673,0.018429294145988918,0.0008431703204047217,0.0008431703204047217,0.0
HEXIM2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
