gene_downregulated.regen,downregulated.regen_Fraction_sp_less4,downregulated.regen_Fraction_sp_less3,downregulated.regen_Fraction_sp_less2,downregulated.regen_Fraction_sp_1,downregulated.regen_Fraction_sp_0
CDK5RAP2,0.047076574877404756,0.005733685401735194,0.00015088645794039985,7.544322897019993e-05,7.544322897019993e-05
CDK5RAP3,0.06118445869483214,0.034251225952470765,0.0017351942663145982,0.0017351942663145982,0.0
CDK5RAP1,0.05484722746133534,0.011920030177291588,0.0003772161448509996,0.0003772161448509996,0.0
CCDC144A,0.0,0.0,0.0,0.0,0.0
BAX,0.06012825348924934,0.02957374575631837,0.0027159562429271973,0.0027159562429271973,0.0
BAD,0.04368162957374576,0.002036967182195398,0.0,0.0,0.0
PMPCB,0.04768012070916635,0.0029422859298377972,0.0,0.0,0.0
PMPCA,0.05756318370426254,0.021425877027536778,0.00015088645794039985,0.00015088645794039985,0.0
NEO1,0.051150509241795546,0.006714447378347793,0.0,0.0,0.0
GZF1,0.05756318370426254,0.014937759336099586,0.0003017729158807997,0.0003017729158807997,0.0
ATP6V1B1,0.04662391550358355,0.006865333836288193,7.544322897019993e-05,7.544322897019993e-05,0.0
ATP6V1B2,0.05628064881176914,0.016823840060354582,0.0003017729158807997,0.0003017729158807997,0.0
PIP5KL1,0.05944926442851754,0.023915503583553377,0.0003017729158807997,0.0003017729158807997,0.0
P2RY8,0.059072048283666544,0.02285929837797058,0.0016597510373443983,0.0016597510373443983,0.0
P2RY2,0.05590343266691814,0.016220294228592985,0.00015088645794039985,0.00015088645794039985,0.0
SEC61G,0.05167861184458695,0.006110901546586194,0.0003772161448509996,0.0003772161448509996,0.0
P2RY1,0.045869483213881554,0.006035458317615994,7.544322897019993e-05,7.544322897019993e-05,0.0
SEC61B,0.05748774047529234,0.017578272350056583,0.0006035458317615994,0.0006035458317615994,0.0
P2RY4,0.03794794417201056,0.0018106374952847981,0.0,0.0,0.0
NCL,0.055450773293096944,0.011391927574500188,0.0003017729158807997,0.0003017729158807997,0.0
